title,job_title,pros,cons,recommendation,salary,date,location,career_opportunity_rating,work_life_balance_rating,work_env_rating,management_rating,benefits_rating,diversity_rating,overall_rating
"‘Culturally Diverse, Equal Opportunity Employer with amazing values’",Senior Personal Banker,ANZ has amazing values. They have a great Pride Network which not only focus on the LGBTI employees but focus on diversity and inclusion for ALL employees. They are a super regional company with worldwide support for staff and its customers. ANZ has won home lender of the year for 13 out of 17 years. The training is second to none with ongoing support,ANZ believes in their staff being highly skills across multiple areas of the business which is fantastic but workload can sometimes become a little heavy as you get upskilled.,Recommends working here: Yes,Rates salary as: High,4 years ago,"Burnie, Tasmania, Australia",5.0,4.0,4.0,5.0,5.0,5.0,5.0
"‘It used to be good, not anymore’",Services Consultant And Personal Banker (Split Role),"Flexible working hour, employees share scheme, free uniform, free bank account fee. ","Work pressure, working overtime without getting paid on busy branch, too many young age or laziness managers lead to poor management, policies keep changing all the times.",Recommends working here: No,Rates salary as: Low,1 year ago,"Canning Vale WA, Australia",4.0,3.0,4.0,2.0,3.0,5.0,3.0
"‘There are plenty of opportunities, work as a team and share your knowledge’",Customer Service Officer,"- Base on your best yearly performance, normally u’ll get rewarded extra money for ur hard work.
- When you acting as a Team Supervisor or doing some projects,  u also get extra  payments.
- I’ve gotten an incentives payment for extra hours
- I had fews of employees award 
- some other rewards 
- Balance between work and family ~ flexibility hours",Every day you Have to face a new or different challenges and I loved those challenges,Recommends working here: Yes,Rates salary as: Average,2 years ago,"Sydney, New South Wales, Australia",4.0,4.0,4.0,4.0,4.0,4.0,4.0
"‘Great people, management had no idea, got out as fast as I could.’",Financial Planner,The staff cared for their customers and each other,"Management had absolutely no idea, see Banking Royal Commission for multiple examples. Product over customer every time. Half of them should be in gaol!!!",Recommends working here: No,Rates salary as: Average,3 months ago,"NSW, Australia",2.0,1.0,1.0,1.0,1.0,2.0,1.0
"‘Having joined in the past 18momyhs, I have found my team and my role a great place to work and I have the satisfaction to deliver to our customer expectations’",Senior Manager,"Strong culture and work life balance, working flexibly",Processes are at time underinvested,Recommends working here: Yes,Rates salary as: Average,4 years ago,,5.0,5.0,4.0,4.0,4.0,4.0,5.0
‘You will never be happier than working at a place like ANZ.’,Telephone Sales Representative,"I would honestly say that working at ANZ was one the greatest opportunities I've had and will never forget. Starting from the work environment, people, team leaders up to things like pay rates, the vibe of everything and everyone there.","There wasn't many challenges only being a sales representative, since I'm a person who enjoys more of a customer based role than dealing with sales.",Recommends working here: Yes,Rates salary as: High,4 years ago,"South Melbourne, Victoria, Australia",5.0,5.0,5.0,5.0,5.0,5.0,5.0
‘Glad I worked there once I got a good manager and I do recommend working there if you want to move up the chain of command.’,Customer Adviser,They are very good with flexibility such as when I was at uni and had to change my roster every semester. I fortunately had an amazing manager who was very easy going if/when things were going on your personal life such as sick kids or car troubles. ,"I LOVED being a teller and seeing the regular customers everyday but they were more interested in having everyone (staff) do everything (personal banker, teller, personal loans, and home loans) which I feel is really bad because I found that no one was really good at anything any more. Everyone knew the basics of things but I felt we were letting our customers down because no one specialised in anything anymore which caused problems. I wasn't interested in climbing the ladder, I wanted to stay as a teller and be the best teller possible.",Recommends working here: Yes,Rates salary as: Average,1 year ago,"ACT, Australia",4.0,5.0,4.0,4.0,3.0,5.0,4.0
‘Working for ANZ has allowed me to develop skills and knowledge that I will always benefit from.’,"Manager, Global Banking And Product Marketing",A strong company that believes in promoting diversity and equal opportunity.,"There are always challenges when working for a global company, especially in the difference of procedures across various regions.",Recommends working here: Yes,Rates salary as: Average,4 years ago,"Sydney, New South Wales, Australia",4.0,5.0,4.0,4.0,5.0,5.0,4.0
‘Overworked and under appreciated ’,"Senior Manager, Data Governance","Money and bonuses - I wouldn’t have stayed for as long as I did without. The group of people I worked with, opportunity to complete a data management project and implement Data Governance.","Lack of clear and consistent strategy - every time I came close to implementing something it changed!, lack of resources, pushing people who already work more than 14hrs a day to do more, putting managers in place that don’t understand the detail and don’t want to, coming back from maternity leave and being looked down on by senior leaders for taking advantage of flexible working hours (even though I was working 14hr days!!), taking maternity leave and coming back to a mess that took months to clean up. ",Recommends working here: No,Rates salary as: High,1 year ago,"Melbourne VIC, Australia",3.0,1.0,1.0,1.0,1.0,1.0,3.0
‘ANZ is a bank I will always be loyal to and I would love to work there until I am retired.’,Manage Expense Data Support And Development,ANZ is the best fastest growing bank in Australia. I love the career opportunities within Australia and globally. I am proud to be part of the company as company provides full support to their employees in professional front it has many branches across the world. So I have good opportunity to show my talent.,Sometimes it can be challenging in setting boundaries and say no to business stakeholders.,Recommends working here: Yes,Rates salary as: High,4 years ago,"Docklands, Victoria, Australia",5.0,4.0,4.0,4.0,4.0,5.0,5.0
