title,job_title,pros,cons,recommendation,salary,date,location,career_opportunity_rating,work_life_balance_rating,work_env_rating,management_rating,benefits_rating,diversity_rating,overall_rating
‘I think my over all experience is very good with Deloitte.’,Business Analyst (Final Year Project),Working with Deliotte is real a life time experience. The business processes in the Deliotte is well defined and every thing is streamlined.,I believe challenges are the ways through which you learn new things. I think the most challenging thing i face in Deloitte is the time constraint for the project.,Recommends working here: Yes,Rates salary as: Average,6 months ago,"Melbourne VIC, Australia",4.0,5.0,5.0,4.0,5.0,4.0,4.0
"‘Under rated learning environment with sometimes under valued employees and high expectations, making for great employees once run through the Deloitte ecosystem’",Consultant,"People, learning, diverse industry and solutions and career development",Low salary and long hoirs,Recommends working here: Yes,Rates salary as: Average,3 months ago,"Melbourne VIC, Australia",5.0,3.0,5.0,4.0,4.0,5.0,5.0
‘Good place to grown until you are harvested for commerce’,Analyst,"Incredibly flexible work arrangements, generous leave entitlements, inspired female colleges",Remuneration and career progression/learning - left to take AP job at ASX2000 security company for better pay and learning opportunities,Recommends working here: No,Rates salary as: Low,3 years ago,"Perth, Western Australia, Australia",1.0,5.0,1.0,1.0,1.0,5.0,1.0
"‘All the perks and exposure of a big consulting firm, with a management team committed to professional growth not seen at any other big firm.’",Risk Analyst,"Amazing environment to be a part of, especially for graduates beginning their career. The exposure to such a working environment early on in a graduates career really ingrains the importance of organisational culture to both productivity as well as professional development .","A challenge that exists, and exists with each of the 'big six', is the ability to promote the pathways for career advancement beyond their own functional areas. As most of us develop into our careers, we alone understand and seek out our own pathway, but for graduates and those that are young in their careers, the vision of advancement tends to cease at the top of their own 'functions', rather than outside into new areas. Of course, there is a risk of losing 'top talent' by promoting pathways outside designated functions, but perhaps a communication strategy can be developed for a happy medium.",Recommends working here: Yes,Rates salary as: High,4 years ago,Australia,4.0,4.0,5.0,5.0,4.0,5.0,5.0
‘A workplace where you are constantly challanged to become your best and differentiate yourself from the rest’,Senior Analyst,Great oppurtunities to learn from leaders in the field and the ability to work in different service lines. Deloitte also offers endless training sessions to build on all the skills necessary to become a true professional.,Some challanges include workload whereby you are given the oppurtunity to do the work of someone at a higher level which proves to be challenging but very rewarding. If the work becomes too much you can always revert back to your original role.,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Sydney, New South Wales, Australia",5.0,4.0,5.0,5.0,4.0,5.0,5.0
‘Every day got a little bit worse in this toxic work culture’,Director,"Energetic juniors, willing to learn","Partners acting to protect their patch. Partners not listening. Preference to 'yes men', rather than listening to clients",Recommends working here: No,Rates salary as: Low,3 months ago,"Perth WA, Australia",2.0,3.0,1.0,2.0,3.0,5.0,2.0
‘Below average - enter at own risk’,Risk,The staff are fairly ok until you're not in the clicks. But you do make friends. Making great relationships with clients was easier than making friends here.,"Everything.... Management, pay disparage, opportunities, long hours...",Recommends working here: No,Rates salary as: Low,1 year ago,"Melbourne VIC, Australia",2.0,3.0,1.0,1.0,1.0,3.0,1.0
‘The Cloud Team are a joke - dont go there.’,Cloud And Infrastructure Services,Interesting work. Good team to work with.,The sales team are not engaged with the delivery team. Scope is never correct.  Poor project management.   Management are poor.,Recommends working here: No,Rates salary as: Average,3 years ago,"Melbourne, Victoria, Australia",1.0,3.0,2.0,1.0,3.0,5.0,1.0
"‘I have never worked so long, or so hard, and been so engaged before! However, you must know why you are there to cope with the demand and make sure you are getting an adequate return on your investment of time and energy!’",Manager,"If you are looking to be challenged, have exposure to a broad range of projects and using your skills in different ways, Deloitte will deliver! Along with a great brand to be associated with, great people and the ability to stay in touch with what is hot right now!",The hours are long and you sometimes feel like you have spent hours just refining the presentation of your message. Expectations increase over time and especially with promotion as the KPIs are still a real focus and you have to spend a lot of time out of hours to achieve the business development hours and sales on top of project delivery. No extra pay or incentives are provided in return.,Recommends working here: Yes,Rates salary as: Average,4 years ago,Australia,5.0,2.0,3.0,3.0,3.0,4.0,4.0
‘It’s good company to work with but lot of rooms for improvements specially when it’s about work culture’,Payroll Role,"Good culture , better plans for future, big brand name and broad thinking for a company as a whole ",Internal management at various team levels are not consistent and not monitored . ,Recommends working here: No,Rates salary as: Average,3 months ago,"Parramatta NSW, Australia",3.0,4.0,1.0,1.0,3.0,1.0,2.0
