title,job_title,pros,cons,recommendation,salary,date,location,career_opportunity_rating,work_life_balance_rating,work_env_rating,management_rating,benefits_rating,diversity_rating,overall_rating
‘Meh’,Senior Consultant,There are excellent opportunities to be exposed to a wide range of clients and become a sector specialist as more junior levels than most firms. The senior management is excellent and genuinely care about your career progression. Ultimately you're primed to be an excellent employee somewhere else.,"As with all big four firms, the pay is lower than the rest of the industry but you're expected to be ok with this because of the 'great opportunities' you're presented with. Because great opportunities pay the bills...",Recommends working here: Yes,Rates salary as: Low,3 years ago,,4.0,2.0,4.0,4.0,1.0,5.0,2.0
‘Worst company I worked in my 23 years of professional life.’,Manager - APAC Compliance And Reporting,Good for graduates who can work 16 -18 hours a day like a machine.,"Horrible work culture, they treat employees like money making machine. Complete disregard of human feelings. Nothing is important for them than their margin and big fat bonus for the partners and directors.",Recommends working here: No,Rates salary as: Low,1 year ago,"Sydney NSW, Australia",1.0,1.0,1.0,1.0,2.0,2.0,1.0
‘A motivational place that taught me so much and gave me long time friendships.’,Executive Assistant,"Amazing culture, good diversity with people who are passionate about their jobs and succeeding for the company.  Great incentives for learning and development plus a team environment that makes you want to come to work everyday.  Great policies, great strategies and being ejncouraged to have a day to work for a charity is truly amazing.",Trying to get new processes across to other teams.  Using global policies for local work sometimes was frustrating.,Recommends working here: Yes,Rates salary as: High,4 years ago,,4.0,5.0,4.0,4.0,5.0,5.0,4.0
"‘Challenging, demanding and busy which pushes for individual growth’",HR Consultant,"The opportunity for women to develop, the variety of clubs and social events you are able to join after work hours, opportunity to get involved in a variety of projects, the set up of mentors and buddying system for new staff, clear vision and end of year performance structure","No proper training was given for the role (peer to peer), no work life balance (working after hours and starting early, missing lunch breaks), tough work enviornment (no 'one team') vision, pay was not great and the stakeholders have strong and different personalities, busy busy busy!",Recommends working here: No,Rates salary as: Low,4 years ago,"Melbourne, Victoria, Australia",4.0,2.0,4.0,4.0,2.0,5.0,2.0
"‘Buyer beware, Although good at times Big 4 is not all its cracked up to be’",Senior Consultant,"Excellent exposure to largest clients in Australia, good assistance with attaining CA qualifications, large work team and plenty of social functions meaning that it is easy to make friends. Opportunities to learn from industry leading partners.","Terrible work life balance (late nights and weekends are rarely awarded genuine thanks), training not executed properly, a 'throwing under the bus' culture from management towards juniors just so they don't look bad, flawed workflow system where managers opinions of staff will affect who they give work to.",Recommends working here: No,Rates salary as: High,4 years ago,Perth,3.0,1.0,2.0,1.0,4.0,4.0,2.0
"‘EY sell you a grand story about their focus on culture, career progression and a younger workforce. They have a younger workforce due to high turn over as they expect their staff to work long hours for low wages compared to industry competitors. They have’",Core Business Services,"Young dynamic workforce, offers perks such as flexible working and staff recognition","Heavy workload vs low pay. Their expectations from you as an employee outweigh their staff recognition and the low pay compared to industry standards. Poor leadership with poor assistance in career progression. Their system of \""counsellor vs counsellee\"" sets the expectation that the employee must initiate their monthly 121s and any 'performance concerns' should be raised by the employee. ",Recommends working here: No,Rates salary as: Low,9 months ago,Australia,1.0,1.0,2.0,1.0,2.0,1.0,1.0
‘A mix of knowledge gained and balance lost. ’,Taxation Manager,Knowledge base together with the opportunity to learn your profession is a strong aspect to consider at EY. As the management team and partners have a strong technical background.,Work life balance needs to be improved,Recommends working here: Yes,Rates salary as: Low,3 months ago,"Brisbane QLD, Australia",4.0,2.0,3.0,2.0,3.0,4.0,3.0
‘It's a great experience to work at such a large company and I made a lot of friends during my time here which I am thankful for.’,Executive Assistant,"Working with smart and motivated people, the social side of things and the friendships made are the good things about working at EY as an EA. A lot of the partners are strong leaders and very busy and rely on their EA's heavily.","Poor leadership from the EA team leaders. A disrespect for EA's within teams who can belittle what we do by giving meaningless tasks. Barely any career progression or development in the EA space and very small salary increases yearly, if any at all while being exposed to everyone else's increase in salaries yearly can be confronting. Long working hours and heavy workload.",Recommends working here: Yes,Rates salary as: Average,1 year ago,"Melbourne VIC, Australia",2.0,2.0,2.0,3.0,3.0,3.0,3.0
‘Tough at times but rewarding.’,HR Business Partner,EY genuinely cares about its people and wants to do the right thing by them. They provide flexibility and opportunities to develop.,"Politics, but that goes for all workplaces.",Recommends working here: Yes,Rates salary as: Low,4 years ago,"Melbourne, Victoria, Australia",5.0,5.0,5.0,3.0,2.0,3.0,4.0
‘High intensity learning environment that will lead to better opportunities in other organisations with a higher focus on worklife balance.’,Executive Assistant,"Excellent L&D opportunities based on experiences, coaching and a superior L&D Dept.

There are clear expectations of each role and a clear career path mapped out leading to good career progression opportunities.","Working in a Partnership is difficult, too many people wanting to drive and far too many decisions being made based on relationships or politics rather than sound business judgement.  There is a very clear lack of leadership.

Really poor work-life balance, expectations are high and it is almost impossible to meet expectations within normal work hours, there is a prevalent culture where working outside of hours is expected but in no way acknowledged.",Recommends working here: Yes,Rates salary as: Average,4 years ago,"Brisbane, Queensland, Australia",4.0,2.0,3.0,2.0,2.0,4.0,4.0
