title,job_title,pros,cons,recommendation,salary,date,location,career_opportunity_rating,work_life_balance_rating,work_env_rating,management_rating,benefits_rating,diversity_rating,overall_rating
‘Professional project teams working together happily like a well oiled machine’,Environment Manager,"Great culture, interesting work skilled staff. Nab are always rewarding staff when goals are achieved. Nab are conscious of creating team moral and excel at bringing teams together.",During major projects NAB should employ the dedicated resource model and insist the resources are located with the project team. In addition moving to a overseas support model will result in slow turn around and miss communications. Keep the resources in Aust NAB.,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Melbourne, Victoria, Australia",4.0,3.0,4.0,5.0,3.0,5.0,4.0
‘Fantastic environment to work with great people!!’,Bank Teller,"I really loved working at the bank!! It was something I enjoyed so much, interacting with various types of people and helping them with their needs. I actually really miss my job and would go back in a heart beat if I could get a job at my local branch that didn't require travel each day! (The 1.5 hour commute each way 5 days a week is why I stopped)",The commute! But that was completely circumstantial to me personally.,Recommends working here: Yes,Rates salary as: Average,6 months ago,"Bathurst NSW, Australia",4.0,5.0,5.0,5.0,5.0,5.0,5.0
"‘Unless you're comfortable working in a slow but pressurised environment, I do not recommend working at NAB.’",Marketing Consultant,"They are accommodating to flexible working, which is a big benefit if you need to pick kids up, or need to work from home.","As with any large and old organisation, there are a lot of system limitations and also a very low risk appetite, making it difficult to create anything new or meaningful.",Recommends working here: No,Rates salary as: Low,2 years ago,"Sydney, New South Wales, Australia",3.0,3.0,2.0,1.0,1.0,2.0,2.0
‘Large and stable but with hints of change a foot.’,Senior Business Analyst,"Despite the large organization there are many opportunities for growth and development, it's namely up to the individual to seize the initiative. For those who prefer structure and rigor over innovation, the bank largely caters to a more methodical approach however there is growing dissent and investment in disruption. Direct management is very good for coaching and mentoring but the layers above and beyond tend to muddy direct communications and slow decision making. Within the digital space there is strong movement to a more iterative and customer focused value - change is a foot and will require some time to effect impacts but there is an appetite to move the bank forward dynamically over the future; very exciting.","Challenges include the somewhat bloated nature, email and the management of said communication has creates numerous roles due to huge inefficiencies. Senior management is unapproachable and permanently locked in meetings which should be delegated meaning engagement and feedback are often lost. A lot of interaction are driven by rank, as expected in a very hierarchical organization, but this means a lot of time and energy is wasted showing face. Performance and review cycles are annual and leave little room for market growth nor negotiations: you are better off leaving and returning for a higher rate than attempting to negotiate. Finally, there is a trend to hiring temporary worker's over permanent, often choosing permanent staff to take on knowledge hoarding traits to ensure job retention over facilitating a collaborative workplace.",Recommends working here: Yes,Rates salary as: Average,4 years ago,"Melbourne, Victoria, Australia",5.0,3.0,4.0,3.0,3.0,3.0,4.0
‘Worked at Nab for over 4 years and still counting’,Associate,Great work culture with work life balance. The staff at Nab are an awesome bunch and it’s like working with a family where everyone is happy to assist.,"Changes in the banking industry has been making it hard to adapt to the changes. With policies and procedures changing, it makes it near impossible to keep up with.",Recommends working here: Yes,Rates salary as: Average,3 months ago,"Docklands VIC, Australia",3.0,4.0,4.0,4.0,4.0,4.0,4.0
‘I've been here ten years so they must be doing something right!’,Wealth Advisor,"With a big company comes a lot of 'big business' perks. Plenty of employee benefits and offers. Salary is quite good and there is a decent feeling that the company would take care of you if you were sick, financially vulnerable or otherwise struggling.",As with all companies there can be a bit of disconnect between the decision makers and the people who are actually effected by the choices and systems that are implemented for them. Sometimes the company can be a little quick to jump the gun with new ideas and procedures.,Recommends working here: Yes,Rates salary as: Average,4 years ago,,4.0,4.0,3.0,3.0,5.0,5.0,4.0
‘Solid Invaluable lending experience at NAB’,Quality And Accreditation Analyst,"Encouraged to develop your career and opportunities for promotion. Reward and recognition at work. Flexibility with leave at work eg career break, special leave, carer's leave etc",Manage and balance high volumes of quality and accreditation if brokers during peak periods of the year.,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Melbourne, Victoria, Australia",4.0,4.0,3.0,3.0,4.0,3.0,4.0
"‘If your into selling, perfect job’",Customer Service Officer,"Staff and customers were the good thing about the job, I worked for them quite a long time, but there main focus now is on sales, loosing all the personal touch, very sad.  Targets were very high, you achieved them but they just wanted more, do they increased your target.  They have lost all it of good faithful staff but your just a number.  The staff work very well as a team but management just want more.....very sad",To achieve targets that are required,Recommends working here: No,Rates salary as: Average,4 years ago,"Melbourne, Victoria, Australia",3.0,3.0,3.0,2.0,2.0,3.0,3.0
‘Best Career opportunities and best place to work at.’,Bank Teller,"Supportive Staff, Friendly atmosphere, opportunities to advance into other roles, continuous free training while on the job being paid, helpful and understanding staff and managers.","Exceeding the kpi's, dealing with difficult customers.",Recommends working here: Yes,Rates salary as: High,4 years ago,"Adelaide, South Australia, Australia",5.0,5.0,5.0,5.0,5.0,5.0,5.0
‘Very welcoming from day they are very supportive the management is all about career progression and making sure you are learning and they do really care about your well being especially in the call centers .... people underestimate but it was actually the’,Associate,"Career development 
Equality diversity 
Respect 
Culture & team effort
Many man resources and ease of communication to stakeholders within nab","Career path might be a little difficult even though you work for nab there are still boundaries like competitive colleague or people in nab or external to compete for the one role you really wanted. 
Work like balance is great but like all jobs there is some emphasis on over time in order to succeed",Recommends working here: Yes,Rates salary as: Average,4 years ago,"Sydney, New South Wales, Australia",3.0,5.0,4.0,3.0,4.0,5.0,4.0
