title,job_title,pros,cons,recommendation,salary,date,location,career_opportunity_rating,work_life_balance_rating,work_env_rating,management_rating,benefits_rating,diversity_rating,overall_rating
‘Incredible positive and collaborative culture with inspiring colleagues and leaders.’,Product Manager,Great collaborative working culture. Incredible learning/development and career opportunities.,"Legacy fragmented tech stacks. Dated offices, though these are being improved.",Recommends working here: Yes,Rates salary as: High,2 years ago,"Melbourne, Victoria, Australia",5.0,3.0,4.0,5.0,5.0,5.0,5.0
"‘Great, fun and interesting business to work for’",Leadership,"Outstanding culture, great people, company vision and purpose. It is great to work for an organisation that provides opportunities to their customers to better their future.",Increase in competition is driving a focus on productivity & KPI monitoring,Recommends working here: Yes,Rates salary as: High,4 years ago,,4.0,5.0,5.0,5.0,5.0,5.0,5.0
"‘All in all I have a great deal of respect for the organisation and it's leadership and it's mission/vision - I really enjoyed being a part of the organisation, I learned far more than I realised (which has been incredibly helpful in my new role at a small’",Business Improvement Analyst,"Good things: The people, the culture; the facilities (showers, kitchen space, coffee machine, breakout room); autonomy within your role and opportunities for professional development; celebrating the holidays, anniversaries and even rolling out new budgets and strategies; transparency from a leadership standpoint; not taking ourselves too seriously, not forgetting to have some fun in your role; company values that are adhered to (which is rare in a large organisation); leaders that will go that extra mile to try and accommodate requests; always working toward continuous improvement; the adaptability of the organisation in a increasingly challenging market whilst maintaining our ethical grounding...","Personally, in my experience I felt there was a lack of support when I transitioned into a new role via a development opportunity which was a bit disappointing and left me second-guessing my ability.  
Then when my manager was dismissed there was a lack of leadership as my colleague who didn't have any management experience became my interim manager.  He had his hands full juggling his own work and trying his best to manage a team, and as a result our working relationship became a bit strained and I wasn't getting the support I required to deliver in my role to the level I wanted to.  I often felt like I was in the deep-end trying to manage a project beyond my experience level and often felt like I wasn't delivering any real value to the organisation.  I of course realise these things happen when departments undergo sudden change and have to adapt accordingly, but it left me doubting myself which is something I struggled with a bit when looking at new job opportunities post Seek Learning.",Recommends working here: Yes,Rates salary as: High,4 years ago,"North Sydney, New South Wales, Australia",5.0,4.0,4.0,4.0,5.0,5.0,5.0
‘A complex and engaging workplace ’,Data Analyst,"Everyone is genuinely engaged in their work and trying their hardest to improve the whole process of finding the right job for both job seekers and hirers. They’re super smart, but also open to hearing what you have to say no matter what your role may be. ","It’s such a massive complicated beast that some things can run really slowly. That, and everyone just thinks you’re a recruiter when they find out you work for SEEK. ",Recommends working here: Yes,Rates salary as: High,1 year ago,"Melbourne VIC, Australia",5.0,4.0,4.0,4.0,5.0,4.0,4.0
"‘Great place to work, if you want to work at a place that cares and also gets stuff done.’",Strategy,"Great culture. People are driven and motivated by the purpose to help individuals to have more fulfilling working lives; they are also smart, capable humble and compassionate. That combination really works for me.",The business is going through a lot of change - good change. However that always comes with higher levels of ambiguity and the greater need to build and re-build working relationships.,Recommends working here: Yes,Rates salary as: High,6 months ago,"Melbourne VIC, Australia",5.0,4.0,4.0,5.0,5.0,5.0,5.0
‘A great software development experience with a fun culture’,Developer,Great software development culture. All striving to do great things and everyone is accepting of everyone's strengths and weaknesses. There is a strong appetite to grow everyone's careers. Org structure is fairly flat and teams are mostly autonomous meaning we make our own product decisions and technology decisions with guidance. Great culture and people - parties are awesome. Salary and work life balance are absolutely amazing. You're able to work from home whenever you need and there is unlimited sick leave.,"The social culture I would say is fairly mediocre compared to other big companies. Teams are quite self contained and don't really get to know other teams so if you're in a team that doesn't get out much you're not going to socialise much unless you really branch out. Not the best for introverts in that sense. I've met some great friends here though who I fairly often see outside of work.

SEEK legitimately only hire people if they're willing to challenge themselves and step outside their comfort zones. The performance system is well structured now and attempts to look at your gaps and how to fix them.",Recommends working here: Yes,Rates salary as: High,3 years ago,"Melbourne, Victoria, Australia",5.0,5.0,4.0,4.0,4.0,3.0,5.0
‘Amazing place to work’,Manager,Awesome environment with people who really care about their work and their colleagues - fantastic culture. Great opportunities to move roles internally too,"Decision-making can be slow at times, given the size of the organisation and number of stakeholders. Some roles don't have perfect work-life balance (but very good on the whole)",Recommends working here: Yes,Rates salary as: High,6 months ago,"Melbourne VIC, Australia",5.0,4.0,5.0,5.0,4.0,5.0,5.0
"‘Great environment to learn, develop and grow!’",Senior Product Manager,"SEEK is a great place to work, where there are a combination of smart people who work hard but also have fun. SEEK is an environment where you have the ability to often shape what you are working on and take opportunities to learn and develop further.","SEEK is not a heavily process driven environment, so if you are someone who likes strict processes and steps to getting things done you may find this challenging.",Recommends working here: Yes,Rates salary as: High,4 years ago,"Melbourne, Victoria, Australia",5.0,4.0,5.0,5.0,5.0,5.0,5.0
‘I look forward to coming to work each day.’,Senior Account Manager - Corporate,"My Colleagues are great friends, we represent a great organisation with a humble and passionate founder. I love that I can really believe in our purpose and feel like I am making a positive impact each day..",Being out of head office can sometimes be challenging as opportunities to diversify or change roles are less frequent than for those based out of Melbourne.,Recommends working here: Yes,Rates salary as: High,1 year ago,"Sydney NSW, Australia",4.0,5.0,4.0,4.0,5.0,5.0,5.0
‘Excellent way to start a career in online sales’,Learning Consultant,"Excellent commission structure, a fantastic office and fun colleagues. Free breakfast, massages, ping pong and casual clothing.","Very flat org structure in the Sydney office. The pay is great but this means that there are heaps of salespeople and team leaders who have been there in the same role for far, far too long.",Recommends working here: Yes,Rates salary as: High,4 years ago,"North Sydney, New South Wales, Australia",3.0,5.0,4.0,3.0,5.0,5.0,4.0
‘Incredible positive and collaborative culture with inspiring colleagues and leaders.’,Product Manager,Great collaborative working culture. Incredible learning/development and career opportunities.,"Legacy fragmented tech stacks. Dated offices, though these are being improved.",Recommends working here: Yes,Rates salary as: High,2 years ago,"Melbourne, Victoria, Australia",5.0,3.0,4.0,5.0,5.0,5.0,5.0
"‘Great, fun and interesting business to work for’",Leadership,"Outstanding culture, great people, company vision and purpose. It is great to work for an organisation that provides opportunities to their customers to better their future.",Increase in competition is driving a focus on productivity & KPI monitoring,Recommends working here: Yes,Rates salary as: High,4 years ago,,4.0,5.0,5.0,5.0,5.0,5.0,5.0
