title,job_title,pros,cons,recommendation,salary,date,location,career_opportunity_rating,work_life_balance_rating,work_env_rating,management_rating,benefits_rating,diversity_rating,overall_rating
"‘Overall, it was the best 8 months of my career and I'd do it all over again. ’",File Assessor,"The best team I've ever worked with
The work/life balance
The environment/facilities
The priveledge of working at Westpac ","A manager who offered me absolutely no feedback from day 1, who showed no interest in my work or my future at Westpac. 
The non existence of achieving something worthwhile, as the role could be quiet monotonous. But I made the best of it. ",Recommends working here: Yes,Rates salary as: Average,6 months ago,"Barangaroo NSW, Australia",2.0,5.0,5.0,1.0,5.0,5.0,5.0
"‘A constant challenge to find solutions for customers with technology that is out of date, and offshore teams whom don't understand customer service.’",Personal Banker,There is s good culture of customer focus compared to other banks I have worked for.,"The technolog for staff is atrocious. They are at least 5 years behind CBA in technology for staff. They created a huge gap between staff and customer engagement as the customer has better technology. Also, the level of offshoring is ridiculous.",Recommends working here: No,Rates salary as: Average,4 years ago,"Ipswich, Queensland, Australia",2.0,2.0,2.0,2.0,2.0,2.0,2.0
‘A long 21 years which I loved a loathed’,"Personal Banker,Teller","The pay and benefits are fantastic..beyond market. They have a domestic 

 panel to help their staff in a vulnerable situation and help in a situation for families in need.",Old systems that they are trying to fix but all the are doing is layering new on top of old. Management on the front of house section are toxic and the Bank turns a bli d eye,Recommends working here: No,Rates salary as: High,1 year ago,"Melbourne VIC, Australia",3.0,3.0,2.0,2.0,4.0,3.0,3.0
‘If you value customers look elsewhere.’,Bank Manager,"Very little could be classed as good compared to the other banks, in various countries, I have worked for.  I suppose the best that can be said is that the work-life balance was acceptable, and whilst the working environment was \""tired\"" and technically limited it was reasonable.","The challenges began and ended with management.  No concept of staff loyalty, no concept of customer loyalty.  Motivation was stick with no carrot.  Churning for the sake of churning was the mantra with sales targets achieved without any real impact on the balance sheet (or the real profit and loss) and without any real benefit to the customer.  Indeed once the customer was \""locked-in\"" they were forgotten and exploited.  Rates (interest, exchange etc.) were at worst artificial at best exploitive.  Banks in the US and the UK have been heavily censured, fined and customers have claimed significant damages for practices encouraged.",Recommends working here: No,Rates salary as: Average,4 years ago,,2.0,3.0,3.0,1.0,3.0,3.0,2.0
‘They are great to work for as long as you aren’t in the branch environment’,Personal Banking Advisor,If you are employed outside of the retail sector they are really flexible with work hours and location. There are a few discounts for working for the company such as private health and of course banking products.,In retail banking staffing and work load are terrible. They are cutting staff and costs at an alarming rate. Micromanaging is the way of most managers.,Recommends working here: No,Rates salary as: High,2 years ago,"Gold Coast, Queensland, Australia",3.0,2.0,2.0,2.0,4.0,3.0,2.0
"‘You will survive and grow in the long run, if you are able to adapt to changes’",Senior Infrastructure Delivery Lead,"End user stable work environment, regular work hours, plenty of work (no bench time), sometime can work from home. Enterprise large scale implementation landscape to grow your experience. Processes oriented.","Changing complex processes, with many red tapes. Emails overloaded. Many compliance and regulations to follow. Quarterly motivate goals to check in and out.",Recommends working here: Yes,Rates salary as: High,6 months ago,"Kogarah NSW, Australia",3.0,3.0,4.0,3.0,3.0,4.0,4.0
‘It is a good comfortable company to spend time at’,Business Analyst,"Range of possible work is wide. Lovely working surrounds. Pleasant fellow staff, who do remember people for good work they do. Good brand to have on the CV.",Investment in data IT Systems is slow. Workload is very reactive and based on Hierarchy.,Recommends working here: Yes,Rates salary as: High,4 years ago,"Sydney, New South Wales, Australia",2.0,5.0,4.0,3.0,4.0,4.0,4.0
‘Great work life balance’,Customer Service Representative,A lot of flexibility with working times  and abilities in changing roles and facing new and exciting challenges.,Dealing with upset and angry customers can be emotionally exhausting. Working in an office with little chance for exercise,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Adelaide, South Australia, Australia",4.0,5.0,4.0,5.0,4.0,5.0,5.0
‘Friendly and flexible environment’,Business Banker,"Great flexibility in work hours and room to grow and develop your career. 
Always opportunities to move and grow within Westpac and so many different skills to learn in one place.",The only challenges faced were that the opportunities presented to be able to up skill came along quickly and sometimes not enough time to imbed the new skill before more training.,Recommends working here: Yes,Rates salary as: High,4 years ago,"Epping, New South Wales, Australia",5.0,5.0,5.0,5.0,5.0,5.0,5.0
‘This is one of the most inspiring Australian companies in Australia’,Business Support Manager,"They have a great vision to be one of the greatest service company and employer in Australia. Heavy focus on health, safety and well being for their people.",Ongoing government regulations for all banks but they see this as an opportunity to be market leading in all aspects of diversity and agile strategies.,Recommends working here: Yes,Rates salary as: High,4 years ago,"Gold Coast, Queensland, Australia",5.0,5.0,5.0,4.0,5.0,5.0,5.0
"‘Overall, it was the best 8 months of my career and I'd do it all over again. ’",File Assessor,"The best team I've ever worked with
The work/life balance
The environment/facilities
The priveledge of working at Westpac ","A manager who offered me absolutely no feedback from day 1, who showed no interest in my work or my future at Westpac. 
The non existence of achieving something worthwhile, as the role could be quiet monotonous. But I made the best of it. ",Recommends working here: Yes,Rates salary as: Average,6 months ago,"Barangaroo NSW, Australia",2.0,5.0,5.0,1.0,5.0,5.0,5.0
"‘A constant challenge to find solutions for customers with technology that is out of date, and offshore teams whom don't understand customer service.’",Personal Banker,There is s good culture of customer focus compared to other banks I have worked for.,"The technolog for staff is atrocious. They are at least 5 years behind CBA in technology for staff. They created a huge gap between staff and customer engagement as the customer has better technology. Also, the level of offshoring is ridiculous.",Recommends working here: No,Rates salary as: Average,4 years ago,"Ipswich, Queensland, Australia",2.0,2.0,2.0,2.0,2.0,2.0,2.0
