title,job_title,pros,cons,recommendation,salary,date,location,career_opportunity_rating,work_life_balance_rating,work_env_rating,management_rating,benefits_rating,diversity_rating,overall_rating,company
"‘Overall good for a student, or temporary position’",Store Assistant,"Being multitasks, able to work in autonomy and expend the customer services.","They expect to be available from 6 am to midnight 7 days a week for a part time position. Can finish work late at night which is impacting the personal life. There is no team spirit, everyone needs to be effective and efficient  to reach the target, no time to socialise !",Recommends working here: No,Rates salary as: High,2 years ago,"NSW, Australia",2.0,3.0,3.0,2.0,1.0,4.0,3.0,ALDI
‘You must be a hard worker’,Store Manager,Good career progression opportunities up to Store Manager. You need a degree to move up to Area Manager so most Store Managers plateau at that level. Teaches you a strong work ethic which you can take into any other job.,"Poor work life balance with no 10 hour break, most of the time have no break during shift, unrealistic expectations, poor culture overall",Recommends working here: No,Rates salary as: High,6 months ago,"Heathwood VIC 3134, Australia",3.0,1.0,1.0,2.0,1.0,5.0,2.0,ALDI
"‘Great company with room to grow, be prepared to for the physical activity though!.’",Store Manager Trainee,"Growth and opportunities to grow within the company, Lots of physical activity , great way to lose extra weight.  Five weeks annual leave per year , extra hours worked over your contract get put into annual leave aswell.
Comfortable staff room with ability to cook your own food , which is super great!.","Extremely demanding role, can be stressful to finish your job in time before the store opens , lots of physical activity which can leave you extremely tired at the end of your shift, like you have been at the gym ALL DAY. If you are under contract hours you Owe ALDI hours which means you will have to work over your contract hours,",Recommends working here: Yes,Rates salary as: Average,2 years ago,"Fortitude Valley, Queensland, Australia",5.0,3.0,5.0,4.0,3.0,3.0,5.0,ALDI
"‘The job is what you make of it, if you have a good team and standards it's a great job but you have to be very available but it all balances out through the year. Communication from the company to a store level and vice versa is a good opportunity to impr’",Store Manager,If you have a good team this job is great and pays enough to be better than the others also opportunity to be close to home and you get every hour you work over your contract back in lieu of your on a salary,"Low staffing levels, multi tasking and a good eye for detail",Recommends working here: Yes,Rates salary as: Average,6 months ago,"Western Australia, Australia",4.0,4.0,4.0,4.0,4.0,4.0,4.0,ALDI
"‘First 6 months were great, learn heaps and always doing something is great but then you realise that the more you go up the ladder the more your taken advantage of.
Most stores are caty and if you dont excel in all areas you are mocked and judged.
The kee’",Retail Sales Assistant,"Some of the staff and the payrate.
Some rostering managers will be helpful, work around uni, family and travel. But not all. Not many.","Store managers are ignorant and complants arent taken seriously, unrealistic expectations and god help you if someone calls in sick most of the time you can't get anyone in and your still expected to reach all the original goals.",Recommends working here: No,Rates salary as: High,1 year ago,"Queensland, Australia",1.0,3.0,2.0,2.0,3.0,3.0,2.0,ALDI
"‘Very good place to work and with the right mix of personalities, it can be very laid back and fun.’",Retail Store Assistant,"Different experiences are had between each store but all in all, ALDI are great to work for. The pay is excellent, much higher than in other supermarkets, doing the equivalent job. Each shift you will be doing a different job and with the volume of customers changing daily, the constant flow of new specials every three or four days, it gives you a chance to learn how manage things hour by hour and yet still able to complete the tasks required.
Depending on closing times, you still have plenty of time after work to go out for dinner or do a bit of socialising, particularly in summer.","Being able to overcome difficult customers which you do get at every store, I know this for a fact! 
Depending on the store you are at, the hours can be demanding sometimes, usually around Christmas and Easter, but the managers work well with you and can help to manage your fatigue pretty well.",Recommends working here: Yes,Rates salary as: High,4 years ago,"Hamilton, Victoria, Australia",5.0,4.0,4.0,4.0,3.0,4.0,4.0,ALDI
‘Good Pay At A Price’,Deputy Manager,"The pay is fantastic, and the opportunities to progress within the company are very good as they nearly always promote/hire from within. The sense of camaraderie is also worthwhile occasionally.","The work is physically demanding, to the detriment of staff safety and well being. The environment is often very rough and brutish, and very much a \""boys' club\"".",Recommends working here: No,Rates salary as: High,4 years ago,"Melbourne, Victoria, Australia",4.0,2.0,2.0,2.0,3.0,3.0,1.0,ALDI
‘Best I could ever get at a job’,Picker Packer,"The great people I had working around me and working with, the experience I received from using the head set and the forklifts, it kept me fit and stable but now homeless","Trying to beat my previous picks everyday was a good challenge, trying to get all stock packed right and rapping, at the start it was because getting used to skipping lots and putting through new ones",Recommends working here: Yes,Rates salary as: Average,4 years ago,"Laverton North, Victoria, Australia",5.0,5.0,5.0,5.0,5.0,5.0,5.0,ALDI
‘Looked forward to going to work.’,Warehouse Operator,"The development of their employees, the work/life balance, and at Aldi you don't just have work colleagues you make friendship with everyone. Very friendly staff. Personally this was my favourite job I have had and I would highly recommend working for Aldi.","The challenges of working at Aldi would have to be trying to improve my pick rate, and also having so many different sections in the warehouse picking up the new section while also maintain a pick rate above the average. But that is also what I loved about working at Aldi that I could challenge myself all the time.",Recommends working here: Yes,Rates salary as: High,4 years ago,"Minchinbury, New South Wales, Australia",5.0,5.0,5.0,5.0,5.0,5.0,5.0,ALDI
"‘Lots of pressure, minimal rewards.’",Store Assistant,"Colleagues and customer interactions. Satisfaction of seeing your work and helping to run the store.
The work can be fun and satisfying and varied.","Rosters are guides only - always expect to be called in at a moments notice, or be asked to stay back. 
A lot of pressure and your work is rarely good enough. No overtime rates, regardless of hours.",Recommends working here: No,Rates salary as: Average,3 years ago,Melbourne,3.0,2.0,4.0,3.0,2.0,4.0,3.0,ALDI
"‘Reliable work for a part time worker looking for a busy, hands on job that pays well.’",Store Assistant,"Friendly team, fairly autonomous working environment. Clear understanding of your job role. A real sense of responsibility - the efficient running of a shift is directly reliant upon your performance on that particular day. You don't get your job done, the store suffers.
The pay is quite nice, although believe me when I say you definitely work hard for it.","Very intense manual labour, taxing on the body - despite your level of fitness. 
Early morning starts - 6am. Can be tough when working consecutive mornings, especially with some early nights. 
If you don't get along with your fellow staff at work, you're forced to either reconcile with them or deal with - its a close proximity working environment, and on a nine hour shift, you're reliant on each other for tasks.
Full time contracts are hard to obtain unless you are in management.",Recommends working here: Yes,Rates salary as: Average,4 years ago,"Mordialloc, Victoria, Australia",2.0,3.0,3.0,3.0,4.0,4.0,3.0,ALDI
‘Easily the best job I've had so far!’,Warehouse Operator,The atmosphere ALDI provides in their workplace is very professional and friendly. They pay you excellently for your time and the work is fairly easy. The management consist of some of the nicest people I've ever met and have helped me greatly throughout my career.,"Fast-paced work usually consists of a few mistakes which is normal but all is corrected through the management teams efficiently. Only normal people mistakes were the challenges like forgetting to write store numbers, incorrect shipping lane, incorrect store number and spilling products.",Recommends working here: Yes,Rates salary as: High,3 years ago,"Minchinbury, New South Wales, Australia",5.0,5.0,5.0,5.0,5.0,5.0,5.0,ALDI
"‘Store assistant has no worries, any level of manager is very demanding and no matter how much work you do, it doesn't matter.’",Deputy Manager,"Great team environment, it's like a family.","Poor communication between managers often, resulting in varying methods, rules and information.
As a manager the workload is insane and the pressure can be quite high.",Recommends working here: Yes,Rates salary as: High,9 months ago,"Fairfield NSW, Australia",4.0,3.0,4.0,3.0,2.0,4.0,3.0,ALDI
‘Great company to work for but there are some negative people who won’t accept change.’,Store Manager,Career progression from Store Assistant up to Store Manager is possible. Moving from Store Operations to another role in the business is very hard unless you are lucky.,"Once staff leave the business they are not replaced quickly enough.
Excessive hours 
Promoting the wrong staff",Recommends working here: Yes,Rates salary as: High,2 years ago,"Brisbane, Queensland, Australia",3.0,3.0,3.0,3.0,3.0,3.0,4.0,ALDI
‘Wouldn't subject my experience here to anybody's worst enemy.’,Trainee Store Manager,"Good job if you like continuous physical exercise, long days with overtime paid only as \""time in lieu\"" which goes towards time off (frowned upon if used)  and no recognition from management.","- No development as promised
- No career plan or strategy presented as per the original advertisement between starting the job and 9 months.
- The trainee store manager role is essentially an standard worker role with extended privileges for when the assistant and store manager are away. And the person to blame for anything management can get away with.
- Toxic culture where back stabbing and manipulation is openly accepted and encouraged with heavy victim blaming.",Recommends working here: No,Rates salary as: Average,2 years ago,"Western Australia, Australia",1.0,1.0,1.0,1.0,1.0,1.0,1.0,ALDI
"‘6 + years never looked back.
’",Transport Operator,"
Acctually i have nothing to verify that makes Aldi look bad...i must say Aldi is one of the best Transport within Australia.
I always like to go back and start if ever i get oppourtunity to join Aldi as a Transport operator.",Being aTransport operator,Recommends working here: Yes,Rates salary as: High,1 year ago,"Prestons NSW, Australia",5.0,5.0,5.0,5.0,5.0,5.0,5.0,ALDI
‘The best place to start career development’,Deputy Manager,"People
Development of career aspects 
Training verbal communication 
Getting to know time management
Basic life skills learnt within environment","Counting change in your head
Being confident in your actions",Recommends working here: Yes,Rates salary as: High,3 years ago,Macquarie,3.0,4.0,5.0,5.0,2.0,5.0,5.0,ALDI
"‘Great work environment, great pay’",Warehouse Operator,"Work life balance, oppertunity for personal development ",Always new challenges daily,Recommends working here: Yes,Rates salary as: High,6 months ago,"Brendale QLD, Australia",5.0,5.0,5.0,4.0,5.0,5.0,5.0,ALDI
"‘Would not recommend unless incredible desperate for a job.

High expectations, near impossible time deadlines, and little training and expected to be able to do everything after the little training you get. You are afraid to ask questions after you have b’",Store Manager Trainee,"Pay, except it is not what they advertised and they could not give me a clear salary figure just got told it's in the contract which every roll was expect the position I was given and non of it had a clear figure ","Work life balance is a lie. Days off got changed every week, most of the time you had a 6am start after a day off so you could not do anything.",Recommends working here: No,Rates salary as: Average,9 months ago,"Perth WA, Australia",2.0,1.0,1.0,1.0,2.0,1.0,1.0,ALDI
"‘Sell your soul for a dollar and some sweet to be treated like a child to go nowhere unless you have a uni degree (not diploma or experience or greatness in your roll, a piece of paper and be a yes person)’",Store Manager,"While you work long hours, the pay was guaranteed. The people you work with.","You are a number and as such treated like one, it was life and death if you missed something, you were made to feel like a child, records of conversations, warnings for silly things, Young university graduates get offered a highish paying job to come in and tell you how to your job that you have been doing since the kid was in primary school. Very poor management skills and out of touch with the real world.",Recommends working here: No,Rates salary as: Average,2 years ago,"New South Wales, Australia",2.0,2.0,3.0,2.0,2.0,2.0,1.0,ALDI
‘TSM is a great way to grow and be a stronger Manager’,Trainee Store Manager,Fast paced. Time goes by so fast especially when there is always something to do. Great team. Great Management. Best decision i have made moving into Aldi with Management experience elsewhere.  The TSM role is a great way to start if you are external with management experience. It helps you learn all you need to know about ALDI and the company expectations of store standards. Safety is paramount and definately a well structured company. Store Manager is very hands on and always supportive giving constructive criticism which helps make the learning process easy. It can be overwhelming when you do first start with  different environment and product lines but you will get the hang of it especially if you have a good team behind you. Yes it is fast paced and can be physically demanding at times but if you are not afraid of hard work it will be just another day on the job. Be motivated be keen to learn and you will enjoy ALDI. Good work life balance as well.,Competing tasks within time frame when you are new but that will all come with time and experience,Recommends working here: Yes,Rates salary as: High,1 year ago,"Caroline Springs VIC, Australia",5.0,5.0,5.0,5.0,5.0,5.0,5.0,ALDI
"‘It's a physical , fun, enjoyable job.’",Sales Assistant,"You become a family, with laughs , hard work and challenges, which are shared with the whole team.
The money is good, hours are good.","The main challenge in this job is keeping up to speed when running load. 
Making sure your  register balances at the end of ever shift.
Making sure your job is done at best you can.",Recommends working here: Yes,Rates salary as: Average,4 years ago,"Maroochydore, Queensland, Australia",5.0,5.0,4.0,4.0,3.0,4.0,5.0,ALDI
‘For the industry there is no comparison. I love my job.’,Store Assistant,"Working at Aldi means being treated with a high level of expectation, integrity, dignity and respect. It menas never having to count your pay or check your super and always coming first in reguards to safety and personal treatment. Ongoing highly secure contracts. No late nights, no big shift swings.
We work hard and get paid well for it. Annually insexed cost of living. Two years three pay rises even when penalty rates have been cut to this sector.","It's tough.  You have to be strong, clever and quick. We are the best and you contribute to your team to the best of your ability. Personal accountability is important and expected.",Recommends working here: Yes,Rates salary as: High,1 year ago,"Ballarat VIC, Australia",3.0,5.0,5.0,3.0,5.0,5.0,5.0,ALDI
‘It’s a good company to work for and amazing people to work with. ’,Deputy Manager,Career progression and management opportunities are easily reachable and the team becomes family! ,"You will work very hard, for long periods of time for very little reward as the salary is quite average. ",Recommends working here: Yes,Rates salary as: Average,6 months ago,"VIC, Australia",5.0,3.0,4.0,5.0,2.0,5.0,4.0,ALDI
"‘Good team, good people, good friends but some managers were clearly out looking to impress their managers, hunting down and escalating mistakes that could have been easily overlooked.’",Store Assistant,"The pay is definitely above industry grade.
Because there aren't many co-workers, we all were tight knit. ","Lots of physical work to do in a short span of time if you're a part of the opening or the closing team. Register work can be boring because of long hours on it. While sitting and working sounds good, you soon realise your back and arms do not like it.",Recommends working here: Yes,Rates salary as: High,6 months ago,"Sydney NSW, Australia",3.0,2.0,5.0,1.0,2.0,5.0,3.0,ALDI
"‘I was lucky to work with a fantastic team that we really were a family. The store manager was the ultimate manager being motivating, and a hard hard where needed but always had the needs and wants of his staff as the priority.’",Deputy Manager,"Good pay rate, prove yourself and you’ll be recognised and rewarded, career growth opportunity","The pace, workload, customers, head office and higher management expections",Recommends working here: Yes,Rates salary as: Average,1 year ago,"Gold Coast Queensland, Australia",4.0,4.0,4.0,4.0,3.0,5.0,4.0,ALDI
