title,job_title,pros,cons,recommendation,salary,date,location,career_opportunity_rating,work_life_balance_rating,work_env_rating,management_rating,benefits_rating,diversity_rating,overall_rating,company
"‘It was a good company to work for, but the work life made life miserable.’",Health Support Consultant,The benefits and discounts were amazing and the support network was pretty good too. The pay was alright.,The work/ life balance was horrendous and there was no wiggle room with shifts. The parking in the area was terribly expensive too.,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Melbourne, Victoria, Australia",4.0,1.0,3.0,2.0,4.0,2.0,3.0,Bupa Wellness
‘Happy friendly fulfilling anc challenging work environment.’,RN,"Friendly, stable,great team i am working with. opportunity for advancement and to step up in other roles. great training and education","Management lack of communication
maintaining staff due to low pay
sometimes lack of transparency",Recommends working here: Yes,Rates salary as: Low,3 years ago,Vic,5.0,4.0,5.0,4.0,5.0,4.0,5.0,Bupa Wellness
‘Love working at Bupa.’,Maintenance Officer,"Love working at Bupa!
Love being apatlrt of such a fantastic company who devote so much towards the care of our wonderful residents.",There are certainly days which are challenging but the experience of being able to care for our residents on a daily basis is exactly why we do it day in day out.,Recommends working here: Yes,Rates salary as: Average,3 years ago,"New South Wales, Australia",5.0,5.0,5.0,5.0,5.0,5.0,5.0,Bupa Wellness
‘One of the best cultures I’ve encountered in a company - I miss my Bupa family.’,Learning And Development Consultant,"Amazing culture. I was fortunate to have had some really brilliant managers and colleagues. It can be hard work but the perks and team fun are worth it. Bupa really cared for it’s people as well as it’s customers as well - skin checks, massages, Christmas hampers, heavily discounted insurance - all amazing.",There is a very long tenure here so opportunities for career progression were limited in the city I was based in.,Recommends working here: Yes,Rates salary as: Average,2 years ago,"Adelaide, South Australia, Australia",4.0,4.0,5.0,4.0,5.0,5.0,5.0,Bupa Wellness
‘Bupa truely promotes a work life balance.’,Manager,"True to company values, promotes and encourages healthy and happy lives, and gives you opportunity to grow with the business.",My department needs an overhaul for procedures but has allowed and encouraged me to do this which is fantastic.,Recommends working here: Yes,Rates salary as: Average,2 years ago,"Melbourne, Victoria, Australia",5.0,5.0,5.0,5.0,5.0,5.0,5.0,Bupa Wellness
‘Great working environment to grow as an employee and work amongst decent hard working people.’,Marketing Manager,Always looking to develop you and build responsibilities. Salary reflects the work you do in the practice,"Previously a private dental practice, the challenge has been the change over to bupa and learning the way things work",Recommends working here: Yes,Rates salary as: High,4 years ago,"Five Dock, New South Wales, Australia",5.0,4.0,5.0,5.0,4.0,5.0,5.0,Bupa Wellness
‘Caring company with good perks.’,Sales And Growth Consultant,Very good perks and senior management that very caring of staff.  Great opportunities for career development if you are happy to work in head office,Pay isn't great and sales targets are high.,Recommends working here: Yes,Rates salary as: Average,2 years ago,"VIC, Australia",3.0,5.0,3.0,5.0,5.0,5.0,4.0,Bupa Wellness
‘Poor work life with Bupa..’,Customer Service,Generally office hours worked...,"No staff to service customers, high KPI's basically you will be a sales person pushing  expensive products that people don't need... Very poor bonus scheme.",Recommends working here: No,Rates salary as: Average,3 years ago,,2.0,1.0,1.0,1.0,2.0,1.0,1.0,Bupa Wellness
"‘Fun, interesting, rewarding.’",Financial Management Consultant - IT,"Dynamic environment, good people, nice benefits, positive philosophy.","It was changing very quickly, which is one of the things I liked about it, but theoretically challenging. There was a huge amount of complex work in the pipeline, moist - if not all - would now be completed.",Recommends working here: Yes,Rates salary as: Average,4 years ago,"Melbourne, Victoria, Australia",3.0,4.0,4.0,4.0,4.0,5.0,4.0,Bupa Wellness
‘I would thoroughly recommend the company as a whole to work for. Amazing opportunities and training was outstanding.’,Sales And Service Consultant,The work/  life balance. Always felt like an individual and not just a number. Really enjoyed my time with the company. Great incentives and KPI targets were very fair.,A somewhat negative manager at the end of my time with the company was my biggest challenge. Did not feel supported by the individual store management team at the time of leaving the company.,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Charlestown, New South Wales, Australia",4.0,5.0,4.0,3.0,5.0,4.0,5.0,Bupa Wellness
‘A company that cares and rewards hard work’,Technical Writer,"Bupa genuinely cares for its customers and its employees. You get subsidised health insurance, flexible working hours and a sense that you're doing something of value in the community.","Bupa's got offices throughout the country, but its Head Office is Melbourne, meaning that any career progression tends to require a move to Melbourne. If you're content with an entry level - lower management role, Brisbane is fine. But otherwise, if you aspire for more, your career will reach its ceiling here in Brisbane pretty quickly.",Recommends working here: Yes,Rates salary as: Average,4 years ago,"Brisbane, Queensland, Australia",2.0,3.0,4.0,3.0,4.0,4.0,4.0,Bupa Wellness
‘Fantastic company who truly care about the health of its clients and customers.’,Wellness Program Manager,"The diverse range of career opportunities is outstanding. You can work almost anywhere in the world in sales, IT, health promotion, medical, optical, dental, aged care and more. Its profits aren't paid to board members or stockholders. They are used to improve the quality of health and care of people worldwide.",Having an international business means that your team may not necessarily be in the same state or country as you. Video conferencing has to occur at times outside of work hours.,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Melbourne, Victoria, Australia",5.0,4.0,5.0,4.0,5.0,5.0,5.0,Bupa Wellness
‘Finally found an organization with worklife/balance that cares about its employees’,Recruitment Specialist,"*Really friendly, open, supportive environment
*Practices what it preaches, focused on employee's health & wellbeing with various wellness initiatives available 
*A true work/life balance with flexible work hours and ability to work from home
*Plenty of growth opportunities throughout the business","*Salaries are fair but could be more competitive, however the positive work culture helps make up for it",Recommends working here: Yes,Rates salary as: Average,2 years ago,"Melbourne, Victoria, Australia",5.0,5.0,5.0,4.0,4.0,5.0,5.0,Bupa Wellness
‘Not really impressed about respect for people’,Personal Assistant,I worked as a casual for a couple of months did a great job applied for a couple of full time roles they would not even give me an interview for the roles after I did my job they couldnt wait for me to finish my contract they dont want to help people and they dont care about people even though they are a health company,Dealing with people that should not be doing the job they are doing,Recommends working here: No,Rates salary as: Average,1 year ago,"Melbourne VIC, Australia",1.0,2.0,1.0,2.0,1.0,2.0,1.0,Bupa Wellness
‘Hard work is well recognised and rewarded.’,Implementation Lead,Great environment. Real team mindset. Wonderful formal (& in-formal) opportunities for development.,"Working with people who just want to clock in and clock out, but that is a challenge at any job.",Recommends working here: Yes,Rates salary as: High,3 years ago,"Brisbane, Queensland, Australia",5.0,5.0,4.0,4.0,4.0,4.0,5.0,Bupa Wellness
"‘I recommend this to people, caring for residents is great here’",Enrolled Nurse,"Management - amazing and approachable, beautiful family members of residents, staff to work with are generally wonderful people, reward their staff with perks and thank you gifts from management, great further opportunities within facility",Average to low pay rate,Recommends working here: Yes,Rates salary as: Average,3 years ago,"Tugun, Queensland, Australia",5.0,5.0,5.0,5.0,5.0,5.0,5.0,Bupa Wellness
‘Frustrating.’,Bank Recs,Some of the other staff were nice.,"Management was poor. I didn't receive proper training for the role. No one took responsibility for my training, everyone just said it was someone else's job to do it. Then I got told off for not doing my job correctly/efficiently.",Recommends working here: No,Rates salary as: Average,4 years ago,"Hawthorn, Victoria, Australia",3.0,3.0,1.0,1.0,3.0,3.0,1.0,Bupa Wellness
‘Great work environment too bad only hiring temps’,Claim Processor,"Being a claim processor, we have reasonable work load and great work environment with professional barista making coffee for us during work hours.",Unfortunately Bupa doesn't offer full time positions to claim processors so the whole floor is temps.,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Brisbane, Queensland, Australia",3.0,4.0,5.0,5.0,1.0,1.0,5.0,Bupa Wellness
‘Work hard because you love working to Bupa’,Business Administration Officer,They are flexible with work arrangements and offer a great career path to nurses but professionals from other backgrounds have very limited opportunities.,The work load is insane and as most of the big companies the communication is poor and the decision/resolutions process is very slow.,Recommends working here: No,Rates salary as: Low,3 years ago,"Sydney, New South Wales, Australia",2.0,3.0,4.0,2.0,2.0,2.0,3.0,Bupa Wellness
‘I enjoy coming to work everyday!’,Recruitment Consultant,"Great culture, people and work life balance. Approachable and available leadership team. 
Great state office locations.","Although the pay is average, the benefits that accompany it are great.
Bupa cares about their people, with great insurance discounts and their wellness calendar of events throughout the year.",Recommends working here: Yes,Rates salary as: Average,2 years ago,"Sydney, New South Wales, Australia",5.0,5.0,5.0,4.0,4.0,5.0,5.0,Bupa Wellness
‘A valuable learning experience in a supportive environment.’,Health Support Consultant,"Supportive, reward and recognition, opportunity to develop, pay increases and bonuses.","Call centre work can be draining, but with the right motivation it's also rewarding.",Recommends working here: Yes,Rates salary as: High,4 years ago,"Melbourne, Victoria, Australia",4.0,4.0,5.0,4.0,5.0,5.0,5.0,Bupa Wellness
"‘Great fun but low pay, no bonus yet high performance’",Registered Nurse,"Work friends and travel, good equipment direct manager was sensational love working with a great team of nurses.","Communication when advised of issues they often went unheard as did provision of information at ground level. Hence, problems evolved",Recommends working here: Yes,Rates salary as: Low,4 years ago,"Sydney, New South Wales, Australia",3.0,2.0,3.0,3.0,1.0,3.0,4.0,Bupa Wellness
‘Great place to be till you find a better one’,Health Customer Service Consultant,"Very good work place environment, good degree of transparency, work life balance,  proactive and approachable management","Not enough career opportunities,  rigidity in procedures but getting better",Recommends working here: Yes,Rates salary as: Average,4 years ago,"Brisbane, Queensland, Australia",4.0,5.0,4.0,5.0,4.0,5.0,4.0,Bupa Wellness
‘It was a great journey as the company grew in size and new businesses.’,IT Architect,"Excellent CIO, culture changing towards right direction, becoming more agile. Mangers are supportive. Technology stack is quite up to date, moving to cloud for new systems. Good training/conference opportunities provided.",Too big ambition within too little timeframe leading to prioritization of work issues. Too many stakeholders to satisfy for approval of work. Many still haven't embraced agile way of working.,Recommends working here: Yes,Rates salary as: Average,2 years ago,"Melbourne, Victoria, Australia",4.0,5.0,3.0,4.0,3.0,4.0,4.0,Bupa Wellness
"‘Loved working here, was sorry to leave.’",Enrolled Nurse,The above and beyond staff,"High changeover of management, resulting with many changed and attitudes.",Recommends working here: Yes,Rates salary as: Average,1 year ago,"Modbury SA, Australia",4.0,4.0,5.0,3.0,4.0,5.0,4.0,Bupa Wellness
‘A lot of PR rather than behin-the-scenes substance.’,Assistant In Nursing,Generally a friendly working environment.,"Not enough experienced clinical staff, lack of leadership.",Recommends working here: No,Rates salary as: Low,4 years ago,"Pottsville, New South Wales, Australia",1.0,3.0,1.0,2.0,1.0,4.0,1.0,Bupa Wellness
‘I always think about going back to work for Bupa above all other companies I have worked for.’,Customer Service Representative,"Work life balance and overall culture of the business ,excellent training",Sales targets can sometimes be challenging but there was always multiple opportunities to learn and improve,Recommends working here: Yes,Rates salary as: Average,2 years ago,"Eastgardens, New South Wales, Australia",5.0,5.0,5.0,5.0,4.0,5.0,5.0,Bupa Wellness
‘The best place’,PCA,Good place and fantastic team,Nice environment and good opportunity,Recommends working here: Yes,Rates salary as: Average,2 years ago,"South Morang, Victoria, Australia",4.0,4.0,4.0,4.0,4.0,4.0,4.0,Bupa Wellness
‘I had a good experience with BUPA aged care.’,Recreation Activity Officer,Relaxed environment.,Lots of paperwork to be done per shift.,Recommends working here: Yes,Rates salary as: Average,2 years ago,"Victoria, Australia",3.0,3.0,4.0,4.0,3.0,4.0,5.0,Bupa Wellness
‘The best opportunity to succeed in the sales and be best you couldBe’,Sales Consultant,Great job great people great environment,The targets but it's all in working together as the team,Recommends working here: Yes,Rates salary as: Average,3 years ago,"Brisbane City, Queensland, Australia",5.0,5.0,5.0,4.0,5.0,5.0,5.0,Bupa Wellness
‘Sometimes it's hard to work with the management seems like too much politics’,RAO,"Bupa values,appreciating staff(PB high 5)",Residents,Recommends working here: Yes,Rates salary as: Low,4 years ago,"Sydney, New South Wales, Australia",3.0,3.0,3.0,3.0,3.0,4.0,4.0,Bupa Wellness
‘Love working for Bupa.’,Projects Manager,Employee health and wellness.,Changing environment.,Recommends working here: Yes,Rates salary as: High,4 years ago,"Coffs Harbour, New South Wales, Australia",3.0,5.0,5.0,4.0,5.0,5.0,5.0,Bupa Wellness
‘Loving it’,Retention Specialist,"Great balance with home and work, great employee benefits including discounts and generous salary and commission structure",Cbd location so public transport can be frustrating,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Brisbane, Queensland, Australia",5.0,5.0,5.0,5.0,5.0,5.0,5.0,Bupa Wellness
‘Good working environment’,AIN,"Environment, very nice and comfortable environment to work","Team work, the team sometime lack ability to work together",Recommends working here: Yes,Rates salary as: Low,3 years ago,calwell act,4.0,4.0,5.0,4.0,4.0,4.0,5.0,Bupa Wellness
‘Retail with a view’,Sales And Service Consultant,A very diverse company with people from many backgrounds,It is essentially a retail health role with high sales targets attached,Recommends working here: No,Rates salary as: Average,4 years ago,"Newcastle, New South Wales, Australia",3.0,3.0,4.0,3.0,5.0,5.0,3.0,Bupa Wellness
‘Horrible’,RN,Lovely residents that deserved more. Lovely staff that deserved to be treated better,Over coing managment,Recommends working here: No,Rates salary as: Low,2 years ago,"Berry, New South Wales, Australia",3.0,2.0,2.0,1.0,2.0,1.0,2.0,Bupa Wellness
‘Lack of training and no one cares about the customers. It was all about KPIs’,Retention Team,Cheaper health insurance for staff,Management who were in experienced and under pressure,Recommends working here: No,Rates salary as: Average,2 years ago,"Brisbane City, Queensland, Australia",2.0,1.0,1.0,1.0,4.0,3.0,1.0,Bupa Wellness
‘I loved the residents and job title but found management was terrible.’,Endorsed Enrolled Nurse,Residents. Kind staff.,I found personally that management was difficult.,Recommends working here: No,Rates salary as: Low,2 years ago,"Bairnsdale, Victoria, Australia",1.0,2.0,1.0,1.0,3.0,1.0,1.0,Bupa Wellness
‘10 years into a 2 week placement’,Risk Manager,Very supportive business with a strong urge to always do right by the customer,Lots of different businesses can lead to lots of balls in the air,Recommends working here: No,Rates salary as: Average,3 years ago,"Victoria, Australia",5.0,5.0,5.0,5.0,5.0,5.0,5.0,Bupa Wellness
‘A big learning curve’,Chef Manager,The residents were good,Management not supporting staff and other managers,Recommends working here: No,Rates salary as: Average,2 years ago,"Cairns North QLD, Australia",2.0,2.0,2.0,1.0,3.0,1.0,1.0,Bupa Wellness
‘Awesome’,RN,Good team work and work environment,N/A. Didn't face any challenges in my work place.,Recommends working here: Yes,Rates salary as: Average,4 years ago,"New South Wales, Australia",5.0,4.0,5.0,5.0,4.0,5.0,5.0,Bupa Wellness
‘Amazing’,Mananger,"Everything, great work life balance",Closing down stores and restructures,Recommends working here: Yes,Rates salary as: Average,2 years ago,"Bunbury, Western Australia, Australia",5.0,5.0,5.0,5.0,5.0,5.0,5.0,Bupa Wellness
‘Not a nice place to work’,Kitchen Hand,Great team of ains and eens on my shifts,High work load understaffed,Recommends working here: No,Rates salary as: Low,2 years ago,"Victoria, Australia",3.0,2.0,1.0,2.0,3.0,3.0,1.0,Bupa Wellness
‘Love my job and my residents but management have killed morale in the workplace’,PCA,"Team work, mateship and co workers are wonderful","Poor staff to resident ratio. Overworked. 
Minimal support and respect from management team",Recommends working here: No,Rates salary as: Low,2 years ago,"Victoria, Australia",3.0,4.0,3.0,1.0,1.0,3.0,3.0,Bupa Wellness
‘A very good experience meeting different people from different backgrounds working together’,Contact Centre Consultant,Bupa is an international company and stands out from the crowd with its unique Brand. You can cross over job roles aswell as continents,To still be here when I retire,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Sydney, New South Wales, Australia",5.0,5.0,5.0,5.0,5.0,5.0,5.0,Bupa Wellness
‘It was okay but wouldn't recommend anyone to work here’,Sales Consultant,If you work a Saturday you get one day off during the week,Your targets are shocking. They expect way too much,Recommends working here: No,Rates salary as: Average,2 years ago,"NSW, Australia",1.0,2.0,1.0,1.0,4.0,1.0,3.0,Bupa Wellness
‘Not the worst but not the best.’,Senior Business Analyst,Subsidy to participate in health activities like 'around the bay',"Immature Project Management structures. Poor quality of Project staff, especially Project managers. No new blood, most management are those been there for >20 years and still set in old ways.",Recommends working here: No,Rates salary as: Average,4 years ago,"Melbourne, Victoria, Australia",3.0,4.0,3.0,1.0,3.0,3.0,3.0,Bupa Wellness
‘I enjoy caring for the residents and working with the team.’,Care Manager,. Company has high ideals. Education opportunities for all. Some great staff on the team.,A lot of talk about Bupa values but often not translated into reality,Recommends working here: Yes,Rates salary as: Low,2 years ago,"NSW, Australia",4.0,3.0,4.0,2.0,3.0,3.0,3.0,Bupa Wellness
‘Worst company and experience ever.’,Inbound Sales Consultant,Lunch breaks because you got to get out of the hole.,Manager with no skills. Commission that was totally unrealistic. They had a coach who talked about narcotics more than helping!,Recommends working here: No,Rates salary as: Low,2 years ago,"Melbourne, Victoria, Australia",1.0,1.0,1.0,1.0,1.0,1.0,1.0,Bupa Wellness
‘Micro management amd ridiculous hours focus on profit and mor eesident care’,Clinica Manager,Staff are committed to excellence in resident caee,Systems and processes take middle management away from resisenr care amd staff supervision,Recommends working here: No,Rates salary as: Average,3 years ago,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,Bupa Wellness
‘Ordinary.’,Branch Manager,Bupa provided good product and process training.,Very unsupportive back of house departments. Poor upper management direction and communication.,Recommends working here: No,Rates salary as: Average,4 years ago,"Victoria, Australia",3.0,3.0,2.0,1.0,4.0,2.0,1.0,Bupa Wellness
‘Good experience if you are a beginner’,RN,Good team,Heavy workload,Recommends working here: Yes,Rates salary as: Average,4 years ago,,3.0,3.0,3.0,2.0,2.0,3.0,3.0,Bupa Wellness
‘Supportive employer with global opportunities’,Senior Business Analyst,Supportive managers and global job opportunities,Silos between different departments,Recommends working here: Yes,Rates salary as: High,4 years ago,"Melbourne, Victoria, Australia",5.0,5.0,5.0,4.0,4.0,5.0,5.0,Bupa Wellness
"‘Great culture, very tough work’",Call Centre Consultant,It's a state of the art call centre and the management truly want to make it a positive culture.,The calls were challenging. Almost every encounter is trying to turn a negative into a positive. People usually only call when there is a problem. Very high call load.,Recommends working here: Yes,Rates salary as: Low,2 years ago,"Brisbane City, Queensland, Australia",3.0,5.0,5.0,5.0,3.0,5.0,3.0,Bupa Wellness
‘Great workplace’,Health Support,Great work environment,Low pay and late shifts,Recommends working here: Yes,Rates salary as: Low,2 years ago,"Brisbane City, Queensland, Australia",4.0,5.0,5.0,5.0,5.0,5.0,4.0,Bupa Wellness
‘Good steady job if you have no aspirations’,Sales And Service Consultant,Helping people with their health cover,"Complaints about price 
Complaints about cover
Feel like a broken record with the conversations
Management are passive aggressive",Recommends working here: No,Rates salary as: Low,2 years ago,"QLD, Australia",1.0,3.0,4.0,3.0,3.0,3.0,3.0,Bupa Wellness
‘Love it!’,OSHC Account Liaison,"The people are really nice, lots of help from management for career progress and training. Lot's of support.",There's not a lot of social activity which makes it harder to connect to the other teams within the company.,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Sydney, New South Wales, Australia",5.0,4.0,3.0,4.0,3.0,4.0,5.0,Bupa Wellness
‘Structured environment with a strong ethic on team & well-being’,Retention Officer,Rewarded for exceeding goals,"Large organisation, not always dynamic in change",Recommends working here: Yes,Rates salary as: Low,2 years ago,"Brisbane City QLD, Australia",4.0,4.0,4.0,4.0,5.0,5.0,4.0,Bupa Wellness
‘Started great finished terribly.’,Senior Management,People that you work directly with,Management. Very much if you are liked you get ahead and willing to not challenge authority otherwise they make it hard for you,Recommends working here: No,Rates salary as: High,4 years ago,,2.0,1.0,2.0,1.0,2.0,1.0,2.0,Bupa Wellness
"‘When things are good, their good but when their bad they are bad.. Very lil support to deal with the stressful workload etc’",Health Support Officer,Met some amazing people.,"Work life balance was not a priority and often made it difficult. Management was unprofessional in terms of  nothing was confidential, very immature and often at times felt like you were dealing with school children. 
Has changed heaps, more work and still the same pay. KPI's have become unrealistic and now pushing sales of general insurance.",Recommends working here: No,Rates salary as: Average,1 year ago,"Brisbane City QLD, Australia",2.0,2.0,3.0,2.0,2.0,2.0,2.0,Bupa Wellness
"‘Very frustrating in that management purported to want change, but then did everything to frustrate and prevent the changes. ’",Scrum Master,Good workplace diversity. Some very good people at the coalface. ,"Management in the stone age. Talk of agile, but contractual arrangements with an outside company prevented doing Scrum. Also, very hard to get decisions made. Everything had to go through committees. Nobody felt they could make a decision. ",Recommends working here: No,Rates salary as: Average,1 year ago,"Melbourne VIC, Australia",3.0,4.0,3.0,1.0,3.0,5.0,3.0,Bupa Wellness
‘Do yourself a favour and work here!’,Bupa Wellness Product Coordinator,Really good culture and great opportunities to progress your career.,"As with all offices I have worked in, there are some politics, but not heaps!",Recommends working here: Yes,Rates salary as: Average,3 years ago,Melbourne,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Bupa Wellness
‘It's been challenging but really enjoying.’,AIN,Excellent staff-management relationship and high standard care for our residents.,Adjusting to the new changes made by immediate past co managing director. Fear of losing all we have  built as a team with recent restructuring.,Recommends working here: Yes,Rates salary as: Average,2 years ago,"Stirling, Australian Capital Territory, Australia",4.0,4.0,4.0,4.0,4.0,4.0,5.0,Bupa Wellness
‘I cant there is too many emotions’,RN,The staff are lovely and caring and good people. Still friends with most of the people i worked with.,Staff to patient/ resident  load but its similar or higher in most  other age care,Recommends working here: Yes,Rates salary as: Average,2 years ago,"Rangeville, Queensland, Australia",4.0,3.0,4.0,4.0,3.0,4.0,4.0,Bupa Wellness
‘A disappointment’,General Manager,Caring for the elderly,Listening to the Bupa values and knowing the company doesn’t live by them,Recommends working here: No,Rates salary as: Average,2 years ago,"NSW, Australia",2.0,2.0,3.0,1.0,2.0,1.0,1.0,Bupa Wellness
‘Great ppl to work with’,Treasury Accountant,Recognised world wide,Internal communications,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Sydney, New South Wales, Australia",2.0,4.0,4.0,2.0,3.0,2.0,3.0,Bupa Wellness
‘Low pay but a great job.’,Client Partnership,Fun and enjoyable work,Being recognised by managers who aren't interested,Recommends working here: Yes,Rates salary as: Low,4 years ago,"Melbourne, Victoria, Australia",3.0,4.0,3.0,2.0,3.0,4.0,3.0,Bupa Wellness
‘I have ups and downs and sadness’,AIN Carer,The people you work with different nationalities,Difficult residents some are very challenging at times they all have different needs and wants,Recommends working here: Yes,Rates salary as: Average,3 years ago,Tamworth,4.0,3.0,4.0,3.0,3.0,3.0,3.0,Bupa Wellness
‘You need to play politics to survive.’,Digital Marketing Manager,SYDNEY OFFICE LOCATED IN A GREAT SPOT IN THE CITY.,Senior marketing management very political and not very smart.,Recommends working here: No,Rates salary as: High,4 years ago,"Sydney, New South Wales, Australia",2.0,2.0,1.0,1.0,2.0,1.0,1.0,Bupa Wellness
‘Overall great company and place to work if you have a decent manager’,Sales Manager,Great staff benefits and employee rewards programs,"Senior management very clicky, only promote friends rather then performing employees",Recommends working here: Yes,Rates salary as: Average,4 years ago,"Brisbane, Queensland, Australia",4.0,3.0,2.0,1.0,4.0,3.0,3.0,Bupa Wellness
‘I have learnt a lot but I'm always looking for a new opportunity’,Senior Sales Consultant,Lots of diversity and benefits for employees,Not enough room for movement as WA is a small team. It's harder to progress.  Plus the salaries should be higher for what you are expected to do.,Recommends working here: No,Rates salary as: Low,4 years ago,"Perth, Western Australia, Australia",2.0,4.0,4.0,2.0,4.0,4.0,3.0,Bupa Wellness
‘To achieve  a goal’,Personal Care Worker,"Well managed , friendly  environment.","Team work , time management.",Recommends working here: Yes,Rates salary as: Average,3 years ago,thomastown,4.0,4.0,4.0,4.0,4.0,4.0,3.0,Bupa Wellness
‘The role was very junior than what it was made out to be’,Team Assistant,Most people were friendly,"Not having a proper job deescription, support or training provided",Recommends working here: No,Rates salary as: Average,4 years ago,"Perth, Western Australia, Australia",2.0,3.0,2.0,2.0,2.0,2.0,3.0,Bupa Wellness
‘Cost cutting takes over care provision’,Registered Nurse Division 1,Residents and care staff,No communication from management or appreciation,Recommends working here: No,Rates salary as: Average,2 years ago,"NSW, Australia",2.0,1.0,3.0,1.0,1.0,1.0,2.0,Bupa Wellness
‘Thought it would be the best but turned out the worst.’,Various,Some of the heart working staff and our service users,"Under staffing
Training is minimal or non existent 
Company values don't match practices.",Recommends working here: No,Rates salary as: Average,2 years ago,"Melbourne VIC, Australia",3.0,2.0,1.0,1.0,1.0,4.0,1.0,Bupa Wellness
‘Glad I’ve left’,AIN,Great residents and great care staff from the originals,"Communication with management 
Always short staffed
Ratios, no handover",Recommends working here: No,Rates salary as: Low,1 year ago,"Tugun QLD, Australia",4.0,3.0,3.0,1.0,2.0,2.0,2.0,Bupa Wellness
‘It has its pros and cons’,Supervisor,Residents and co workers,Getting staff to work extra or obtaining staff due to work loads when short,Recommends working here: No,Rates salary as: High,1 year ago,"Portland VIC, Australia",3.0,3.0,2.0,2.0,1.0,3.0,3.0,Bupa Wellness
‘A very friendly working environment.’,Assistant In Nursing,Employee benefits and recognition for promotions,Time is precious and coming on time is very important.Make sure advise your manager in advance if you can't make it to work.,Recommends working here: Yes,Rates salary as: Average,2 years ago,"Ballarat VIC, Australia",5.0,5.0,5.0,5.0,5.0,5.0,5.0,Bupa Wellness
‘Good for those who doesn’t want career development.’,Non-clinic,Bupa follows the EBA. Working hours are negotiable to fit your work life balance.,Work politics have no evidence.,Recommends working here: No,Rates salary as: Average,1 year ago,"Melbourne VIC, Australia",3.0,4.0,3.0,2.0,4.0,3.0,3.0,Bupa Wellness
‘I am happy to work there’,AIN,Sensitive management,Low salary rate and showy people domination,Recommends working here: Yes,Rates salary as: Low,3 years ago,sydney,5.0,5.0,5.0,5.0,4.0,5.0,5.0,Bupa Wellness
