title,job_title,pros,cons,recommendation,salary,date,location,career_opportunity_rating,work_life_balance_rating,work_env_rating,management_rating,benefits_rating,diversity_rating,overall_rating,company
"‘Okay, given your prepared to work long days.’",Delicatessen Manager,Plenty of hours for casual staff if willing to work a variety of shifts. If you work hard there are programs in place to progress your career. Salary for DM can be okay depending on how well you can negotiate.,"Poor work/life balance for DM's who want to achieve KPI's as there is not the budget to achieve with team, you are required to put in quite a few hours extra sometimes upwards of 60+. Some team can be reluctant to do their job properly and do not react well to any change, namely older full time team who have worked for the business for a number of years. Upper management can be quite weak. Quite a reactive workplace.",Recommends working here: Yes,Rates salary as: Average,1 year ago,"New South Wales, Australia",4.0,1.0,3.0,3.0,2.0,4.0,3.0,Coles Supermarkets
"‘Great job to gain work experience and interpersonal skills, plenty of opportunity for moving into manager roles. ’",Checkout Operator,Great job to further develop interpersonal skills. Opportunity to work in different areas and generally working with a great team. ,Working on weekends and public holidays often. ,Recommends working here: Yes,Rates salary as: Average,1 year ago,"Port Pirie SA, Australia",4.0,4.0,4.0,4.0,4.0,4.0,4.0,Coles Supermarkets
‘Great for someone starting out. Can get stifled in Middle Management.’,Sales Area Manager,"Boss is not intense. Good Work Vs Life balance. 
Interesting workplace. Great customers.","Moving the business through change. Setting the vision. 
Career progression, navigating office politics. 
Diversity should not just be about gender equality. But, also include age, race, sexual preference.",Recommends working here: Yes,Rates salary as: Low,4 years ago,"Sydney, New South Wales, Australia",4.0,5.0,3.0,4.0,2.0,3.0,4.0,Coles Supermarkets
"‘A good, yet tough one.’",Casual Employee,"Making friends, new experiences, fast paced enviroment to work in. Tidy clean workspaces, easy work not too strenuous, almost any individual can work at coles.","Getting along with managers, management system, dealing with favouritism. Missinterpretation of instructions, one supervisor will say one thing, then another will say something different. Rules and regulations within the department are different from others.",Recommends working here: No,Rates salary as: Average,4 years ago,Mill Park Lakes,4.0,4.0,4.0,1.0,4.0,1.0,3.0,Coles Supermarkets
"‘Challenging, rewarding, overall satisfying!’",Bakery Manager,"Fast paced environment. Great way to learn retail and business with a diverse team. Fulfulling and challenging at the same time, the business pushes you to achieve your greatest potential.","Work life balance. You have to be very passionate and willing to put in the hours. If you do, you will gain a lot of experience and recogniton.",Recommends working here: Yes,Rates salary as: High,4 years ago,"Zetland, New South Wales, Australia",4.0,3.0,4.0,4.0,4.0,4.0,4.0,Coles Supermarkets
"‘Good job, easy work, other staff are friendly & helpful.’",Nightfill Team Member,Other staff are really friendly & good to work with! Job is not difficult to do.,"Low pay (unless you are casual) -no penalty rates apply until after midnight on a Mon to Fri and only until 5am so if you work up until midnight you are still getting payed the same rate as someone on day shift, Penalty rates are not payed on Sat unless you work after 10pm at night.",Recommends working here: Yes,Rates salary as: Low,4 years ago,"Adelaide, South Australia, Australia",3.0,3.0,4.0,3.0,2.0,5.0,3.0,Coles Supermarkets
‘A great team environment’,Checkout Operator/Supervisor,Surrounded by supportive team members. Everyone works well together and helps eachother to make the shopping experience a pleasure for customers.,It can be difficult dealing with some customers and there is also a lot of theft which can be challenging to handle.,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Brisbane, Queensland, Australia",4.0,4.0,3.0,3.0,4.0,5.0,4.0,Coles Supermarkets
"‘Staff discounts, easy work!!!! Great experience’",Part Time Team Member,"Staff discounts, easy work and opportunities for many hours and gaining good customer service experiences as well as cash handling etc","Often dealing with rude customers, long shifts with fairly short breaks, two extremes - a lot of standing around with nothing to do if it isn't busy, or very intense and fast paced during peak hours.",Recommends working here: Yes,Rates salary as: Average,4 years ago,"Canberra, Australian Capital Territory, Australia",2.0,4.0,4.0,4.0,3.0,4.0,4.0,Coles Supermarkets
"‘Nightfill was the best job I had during University and worked well around life in general. The shifts weren't very long but I was grateful because the job is quite physical. Great place for people of many walks of life, stages of life and ages!’",Nightfill Team Member,"-Casual work is very flexible for Uni students or parents
-People were great and easy going
-Nightfill is an easy job once you know how to do it
-Can be fun
-A lot of shifts","-Management are constantly changing
-High staff turn over 
-Never enough staff",Recommends working here: Yes,Rates salary as: High,6 months ago,"Bateau Bay NSW, Australia",2.0,4.0,4.0,3.0,3.0,3.0,4.0,Coles Supermarkets
‘Caring people with great working ethics.’,Supervisor,The store runs well because we have a good management team in place. There are a few bugs but generally management cares about its staff and makes sure to reward them for hard work.,"There are always things that need to be improved, and the team works really hard to do so. Things like chain of command can be a bit tricky to navigate if you are unfamiliar with the system.",Recommends working here: Yes,Rates salary as: High,4 years ago,"Victoria, Australia",5.0,4.0,4.0,5.0,4.0,4.0,5.0,Coles Supermarkets
‘How I worked 7 days a week for 4 years straight until the sweet release of redundancy.’,Business Analyst,"Other staff, particularly your line manager, at least understood the difficult working conditions. Working in the Support Centre, I was afforded some flexibility in my work hours since I was required to support the business 7 days a week, public holidays and even sick days, if I could get to a computer.","It was extremely difficult to change things once they were set in motion unless, of course, the change was kind to the bottom line. It often felt that we were having to make the best of a bad situation rather than having the opportunity to make the situation better.",Recommends working here: No,Rates salary as: Low,4 years ago,"Melbourne, Victoria, Australia",2.0,2.0,1.0,3.0,1.0,1.0,2.0,Coles Supermarkets
‘Much better than working for Woolworths’,Checkout Operator,The Team Members.Management are great they always say hello & say goodbye when they leave. Everyone thanks everyone for coming in to work or if they've been called in...,Customers in self serve don't listen or read..very impatient too much complaining in self serve..Needs to be at least 2 workers supervising self serve..,Recommends working here: Yes,Rates salary as: Average,2 years ago,"Bairnsdale VIC, Australia",3.0,4.0,4.0,5.0,4.0,4.0,5.0,Coles Supermarkets
"‘Great place to work , I have made so many fantastic people and some beautiful friends.’",Nightfill Team Member,"Great job for a mum with little kids at home as you can do nightfill and be home with your children in the day .
You make friends with the people your work with so it’s fun sometimes to work together.","Late nights 
Sometimes you work 6 nights straight 
Not many nights at home",Recommends working here: Yes,Rates salary as: Average,2 years ago,"New South Wales, Australia",1.0,5.0,5.0,3.0,4.0,3.0,5.0,Coles Supermarkets
"‘Got me through school, uni, and moving out of home, all while working with great people :)’",Customer Service Assistant,"Flexible hours, great people, not bad money for the work, and the managers are very considerate of any issues you have (physical, personal, professional)","Standing long hours, sometimes waiting a bit for customers which can be boring, and sometimes sleep-depriving hours (eg 6am starts, midnight finishes)",Recommends working here: Yes,Rates salary as: Average,4 years ago,"Leopold, Victoria, Australia",4.0,5.0,4.0,4.0,4.0,4.0,4.0,Coles Supermarkets
"‘I'm the type of person that likes change, however I've been at coles group for 5 years now and I don't plan on leaving any time soon, it's that good!’",Delicatessen Assistant,"Coles offers all employees flexibility to work around everyone's busy lifestyles whether it's school, uni, family, social life and all the in betweens! Working at Coles, you have great access to many benefits and awards, it's reawrding to know that take care of their employees in showing their appreciation for their hard work! Moving house? Feeling like a change? But don't want to leave coles? That's okay! Coles is here to stay! Transfer to a store closer to you, so it makes things a little bit easier! Not to mention your team are like a small family, from managers to co workers they will always take care of you!!","In any retail or customer service job, there are always going to be those difficult customers, but it's all apart of a learning experience! Obviously when you first start a new job, learning and getting use to all the tasks and how things work are challenging but with time it all becomes second nature!",Recommends working here: Yes,Rates salary as: High,4 years ago,"Altona, Victoria, Australia",5.0,5.0,5.0,5.0,5.0,5.0,5.0,Coles Supermarkets
‘My experience with Coles has been amazing I love my job.’,Retail Assistant,The good things are working with some amazing people and getting to work with the public meeting new an fantastic people everyday,Challenges of learning new things and new skills. Knowing no boundaries and trying my best to prove the best of my ability. Helping run a fantastic team and working with a team,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Tea Gardens, New South Wales, Australia",5.0,5.0,5.0,5.0,5.0,5.0,5.0,Coles Supermarkets
"‘I work in Coles casual as a night filler through out uni, great for uni students due to flexibility and decent pay. However career wise it is terrible and work is really boring.’",Night Filler,"Flexible hours, decent pay, great team members","Nightshift work, poor hours, poor management, incredibly boring, monotonous work, horrible career progression.",Recommends working here: Yes,Rates salary as: Low,2 years ago,"Sydney, New South Wales, Australia",2.0,1.0,3.0,2.0,3.0,5.0,3.0,Coles Supermarkets
"‘Coles is a very poor employer when it comes to job security, management outcomes and training, and following it own guidelines when it comes to treating its employees with compassion.’",Nighfill,Coles is okay to work for if you only need casual work of between 12 and 20 hrs.  Anything above this is not forth coming.  Good work for juniors after school.  ,Management is very poor and employees are poorly treated.  There is little to none affirmative outcomes for good work and next to no opportunities to progress through the organization or increase your work hours.  Management constantly uses threats of 'loss of hours' if you constructively complain about internal work processes.  Coles needs to vastly improve its treatment of its workforce.,Recommends working here: No,Rates salary as: Low,6 months ago,"Grafton NSW, Australia",1.0,2.0,2.0,1.0,1.0,3.0,1.0,Coles Supermarkets
‘It's all about people not company/organisation.’,Sales Assistant,"Good company depand on the management looking after their own staff or not. Management change frequently, communication break down between management not passing down to staff, lower staff, overwhealm duties, not enough hours and irregular hours given to staff, treat staff like down down as advertise to product.","Try for success, find more opportunity, don't think what they say are true (Great career opportunity, better pay, Management are better)  until you work with company. Move on, find better position or change career.",Recommends working here: No,Rates salary as: Low,4 years ago,"Brighton, Victoria, Australia",3.0,3.0,3.0,2.0,4.0,3.0,3.0,Coles Supermarkets
"‘Great for part time work, but not for career oriented people.’",Delicatessen Assistant,"Great workplace culture. Flexible hours so fantastic for a student, new parent etc.",Not much career growth opportunities. No clear pathway for development and not motivated by management to develop.,Recommends working here: Yes,Rates salary as: Average,4 years ago,,2.0,4.0,4.0,4.0,4.0,4.0,4.0,Coles Supermarkets
"‘I enjoyed my time with Coles Online,it suited my temperament to be out and about meeting people, and the part time hours suited me.’",Delivery Driver,"Good morale amongst workers and supervisors alike. Variety of areas - you get out and about, often seeing places you haven't been before. Because you're ducking in and around suburbs, you're not always fighting the mainstream traffic.  Finally, customers really appreciate the service, so you usually get a warm reception, and even get to know regulars.","Can be a but hectic sorting and loading. Also out in the field the crates are often quite heavy, and need to be carried into people's homes, so the job's a genuine fitness developer.",Recommends working here: Yes,Rates salary as: Low,3 years ago,"Mirrabooka, Perth WA",3.0,4.0,4.0,4.0,3.0,3.0,4.0,Coles Supermarkets
