title,job_title,pros,cons,recommendation,salary,date,location,career_opportunity_rating,work_life_balance_rating,work_env_rating,management_rating,benefits_rating,diversity_rating,overall_rating,company
‘Incredible positive and collaborative culture with inspiring colleagues and leaders.’,Product Manager,Great collaborative working culture. Incredible learning/development and career opportunities.,"Legacy fragmented tech stacks. Dated offices, though these are being improved.",Recommends working here: Yes,Rates salary as: High,2 years ago,"Melbourne, Victoria, Australia",5.0,3.0,4.0,5.0,5.0,5.0,5.0,SEEK
"‘Great, fun and interesting business to work for’",Leadership,"Outstanding culture, great people, company vision and purpose. It is great to work for an organisation that provides opportunities to their customers to better their future.",Increase in competition is driving a focus on productivity & KPI monitoring,Recommends working here: Yes,Rates salary as: High,4 years ago,,4.0,5.0,5.0,5.0,5.0,5.0,5.0,SEEK
"‘All in all I have a great deal of respect for the organisation and it's leadership and it's mission/vision - I really enjoyed being a part of the organisation, I learned far more than I realised (which has been incredibly helpful in my new role at a small’",Business Improvement Analyst,"Good things: The people, the culture; the facilities (showers, kitchen space, coffee machine, breakout room); autonomy within your role and opportunities for professional development; celebrating the holidays, anniversaries and even rolling out new budgets and strategies; transparency from a leadership standpoint; not taking ourselves too seriously, not forgetting to have some fun in your role; company values that are adhered to (which is rare in a large organisation); leaders that will go that extra mile to try and accommodate requests; always working toward continuous improvement; the adaptability of the organisation in a increasingly challenging market whilst maintaining our ethical grounding...","Personally, in my experience I felt there was a lack of support when I transitioned into a new role via a development opportunity which was a bit disappointing and left me second-guessing my ability.  
Then when my manager was dismissed there was a lack of leadership as my colleague who didn't have any management experience became my interim manager.  He had his hands full juggling his own work and trying his best to manage a team, and as a result our working relationship became a bit strained and I wasn't getting the support I required to deliver in my role to the level I wanted to.  I often felt like I was in the deep-end trying to manage a project beyond my experience level and often felt like I wasn't delivering any real value to the organisation.  I of course realise these things happen when departments undergo sudden change and have to adapt accordingly, but it left me doubting myself which is something I struggled with a bit when looking at new job opportunities post Seek Learning.",Recommends working here: Yes,Rates salary as: High,4 years ago,"North Sydney, New South Wales, Australia",5.0,4.0,4.0,4.0,5.0,5.0,5.0,SEEK
‘A complex and engaging workplace ’,Data Analyst,"Everyone is genuinely engaged in their work and trying their hardest to improve the whole process of finding the right job for both job seekers and hirers. They’re super smart, but also open to hearing what you have to say no matter what your role may be. ","It’s such a massive complicated beast that some things can run really slowly. That, and everyone just thinks you’re a recruiter when they find out you work for SEEK. ",Recommends working here: Yes,Rates salary as: High,1 year ago,"Melbourne VIC, Australia",5.0,4.0,4.0,4.0,5.0,4.0,4.0,SEEK
"‘Great place to work, if you want to work at a place that cares and also gets stuff done.’",Strategy,"Great culture. People are driven and motivated by the purpose to help individuals to have more fulfilling working lives; they are also smart, capable humble and compassionate. That combination really works for me.",The business is going through a lot of change - good change. However that always comes with higher levels of ambiguity and the greater need to build and re-build working relationships.,Recommends working here: Yes,Rates salary as: High,6 months ago,"Melbourne VIC, Australia",5.0,4.0,4.0,5.0,5.0,5.0,5.0,SEEK
‘A great software development experience with a fun culture’,Developer,Great software development culture. All striving to do great things and everyone is accepting of everyone's strengths and weaknesses. There is a strong appetite to grow everyone's careers. Org structure is fairly flat and teams are mostly autonomous meaning we make our own product decisions and technology decisions with guidance. Great culture and people - parties are awesome. Salary and work life balance are absolutely amazing. You're able to work from home whenever you need and there is unlimited sick leave.,"The social culture I would say is fairly mediocre compared to other big companies. Teams are quite self contained and don't really get to know other teams so if you're in a team that doesn't get out much you're not going to socialise much unless you really branch out. Not the best for introverts in that sense. I've met some great friends here though who I fairly often see outside of work.

SEEK legitimately only hire people if they're willing to challenge themselves and step outside their comfort zones. The performance system is well structured now and attempts to look at your gaps and how to fix them.",Recommends working here: Yes,Rates salary as: High,3 years ago,"Melbourne, Victoria, Australia",5.0,5.0,4.0,4.0,4.0,3.0,5.0,SEEK
‘Amazing place to work’,Manager,Awesome environment with people who really care about their work and their colleagues - fantastic culture. Great opportunities to move roles internally too,"Decision-making can be slow at times, given the size of the organisation and number of stakeholders. Some roles don't have perfect work-life balance (but very good on the whole)",Recommends working here: Yes,Rates salary as: High,6 months ago,"Melbourne VIC, Australia",5.0,4.0,5.0,5.0,4.0,5.0,5.0,SEEK
"‘Great environment to learn, develop and grow!’",Senior Product Manager,"SEEK is a great place to work, where there are a combination of smart people who work hard but also have fun. SEEK is an environment where you have the ability to often shape what you are working on and take opportunities to learn and develop further.","SEEK is not a heavily process driven environment, so if you are someone who likes strict processes and steps to getting things done you may find this challenging.",Recommends working here: Yes,Rates salary as: High,4 years ago,"Melbourne, Victoria, Australia",5.0,4.0,5.0,5.0,5.0,5.0,5.0,SEEK
‘I look forward to coming to work each day.’,Senior Account Manager - Corporate,"My Colleagues are great friends, we represent a great organisation with a humble and passionate founder. I love that I can really believe in our purpose and feel like I am making a positive impact each day..",Being out of head office can sometimes be challenging as opportunities to diversify or change roles are less frequent than for those based out of Melbourne.,Recommends working here: Yes,Rates salary as: High,1 year ago,"Sydney NSW, Australia",4.0,5.0,4.0,4.0,5.0,5.0,5.0,SEEK
‘Excellent way to start a career in online sales’,Learning Consultant,"Excellent commission structure, a fantastic office and fun colleagues. Free breakfast, massages, ping pong and casual clothing.","Very flat org structure in the Sydney office. The pay is great but this means that there are heaps of salespeople and team leaders who have been there in the same role for far, far too long.",Recommends working here: Yes,Rates salary as: High,4 years ago,"North Sydney, New South Wales, Australia",3.0,5.0,4.0,3.0,5.0,5.0,4.0,SEEK
"‘Amazing culture, good opportunities to learn about the business and industry’",National Client Support Coordinator,"Amazing culture, great social and community opportunities. Senior Leadership Team was caring and tends to listen to the employees.",Opportunities for growth and development was average. a disconnect between Senior and Middle management. HR support and advice was poor in a few cases during this time.,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Melbourne, Victoria, Australia",2.0,4.0,5.0,3.0,4.0,5.0,5.0,SEEK
‘Whatever your discipline you should aspire to work here.’,Product Lead,Non-hierarchical structure where everyone can contribute ideas. Management has good vision and strategy. Investment in new products has been awesome. International expansion very impressive.,A lot of things happening at once. Resources a little stretched at times but that just adds to the fun really.,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Melbourne, Victoria, Australia",4.0,5.0,5.0,5.0,4.0,4.0,5.0,SEEK
‘It was fantastic taking part in this proud work with lovely people on the amazing products.’,Test Automation Engineer,Amazing company culture and advanced technologies. It exceded my expectations and was one of the best work experiences,"Many professionals, many opinions and not all approaches/concepts can be tested properly.",Recommends working here: Yes,Rates salary as: High,3 years ago,"Melbourne, Victoria, Australia",5.0,5.0,5.0,5.0,4.0,5.0,5.0,SEEK
"‘Best culture, staff and all round business I have ever worked in.’",Sales Person,"Has won Aon's best employer 10 years in a row for a reason.  Amazing place to work.  Full of smart people, all with a caring and supportive attitudes.  Cant talk more positively about the business.",Only minor challenges exist and in comparison to other businesses in market they are non existent.,Recommends working here: Yes,Rates salary as: High,1 year ago,"Melbourne VIC, Australia",4.0,5.0,5.0,5.0,5.0,5.0,5.0,SEEK
‘Fast paced environment with a great culture’,Manager,Seek has a strong culture and established values. There is a clearly defined vision and purpose. Management are active across all business units and there is a lot of growth potential for the business.,Seek is expanding rapidly and the pace of this strategy execution is doesn't seem to be balanced with the operational business model. Some roles appear unclear as to their area of remit.,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Melbourne, Victoria, Australia",4.0,5.0,4.0,4.0,4.0,4.0,4.0,SEEK
‘Best job I’ve had by far’,Customer Service Role,"An empowering environment which really leaves little room for any negativity in my opinion. 
Freedom to be yourself, surrounded by great people, fun spaces and awesome events.
Ample opportunities are available to engage with the business and create ideas or initiate changes as well.","Challenges are addressed very well at SEEK. A suggestion maybe, that customer service could be engaged a little earlier for potential new products/changes and not just after it’s all been done.
Normally things are created and launched without cs input and then we have to take “feedback” (complaints, criticisms) from clients which isn’t always fun.",Recommends working here: Yes,Rates salary as: High,1 year ago,"Melbourne VIC, Australia",5.0,5.0,5.0,5.0,5.0,5.0,5.0,SEEK
"‘Enjoyable, enlightening and with much room for growth I would consider a long career at SEEK’",Executive Assistant,"Full diversity - maybe sometime lacking in \""older\"" workers.
Great perks - pushes collaboration and team bonding
Autonomy","Cross team integration 
Near enough is good enough approach
Lack of accountability in some areas - back office functions",Recommends working here: Yes,Rates salary as: Average,3 years ago,Melbourne,5.0,5.0,3.0,3.0,4.0,5.0,3.0,SEEK
"‘Amazing place, insanely good culture and great career opportunities’",Product Manager,"The work is super interesting and for a great purpose, helping jobseekers prosper in their careers.   The Product team and capability is very mature so you have an opportunity to learn from some of the best talent in the country.

Last but not least they really care about their employees and have demonstrated this time and time again.",Recognition takes a lot of perseverance. Given the quality and sheer number of fellow product managers it takes a lot to really stand out.,Recommends working here: Yes,Rates salary as: High,3 years ago,Melbourne,4.0,4.0,5.0,5.0,4.0,5.0,5.0,SEEK
‘Great people to work with who have a passion for helping people find jobs.’,Account Manager,Great work life balance and the opportunity to work with lots of really talented and passionate people,Once had a great culture that made working at Seek fun and rewarding but the culture isn't important to new management who focus only on profit and new product development.,Recommends working here: Yes,Rates salary as: Low,3 years ago,Melbourne,3.0,5.0,4.0,2.0,4.0,3.0,3.0,SEEK
"‘The people, atmosphere and problem space at seek has bene great!’",Data Analyst,"Great people, solving important problems, great culture","Always growing in terms of staff and teams which is awesome, but if means finding space/rooms for meetings etc can sometimes be a challenge",Recommends working here: Yes,Rates salary as: High,2 years ago,"Melbourne, Victoria, Australia",5.0,5.0,4.0,5.0,5.0,5.0,5.0,SEEK
‘Do it’,Product Manager,"Great people, great culture, great challenges. Fast paced and high expectations, but also trust and a supportive environment, especially when you have to make things happen.","Everyone is in top gear all the time, it's hard to keep up.",Recommends working here: Yes,Rates salary as: High,4 years ago,"Melbourne, Victoria, Australia",4.0,5.0,5.0,5.0,5.0,4.0,5.0,SEEK
"‘Seek is a happy, diverse, fast paced and inspiring place to work’",Personal Assistant,A company that genuinely cares about its staff but also every person searching for a job or ideal candidate. Day to day staff benefits are incredible.,"The onboarding process of staff when I originally started wasn't great, I felt like an outlier and unsupported. Thankfully this is actively being changed.",Recommends working here: Yes,Rates salary as: Average,2 years ago,"Melbourne, Victoria, Australia",4.0,5.0,4.0,4.0,5.0,5.0,4.0,SEEK
"‘Great company, great future lies ahead.’",Product Manager,The corporate culture is the best i've ever experienced. A really great outlook for the company due to very smart and dedicated people with a clear vision.,"Some senior managers are too indecisive & tend to critique, rather than lead. While pay is slightly above the industry average, it could be better to attract/retain more talent, as seen elsewhere in what is quite a competitive industry.",Recommends working here: Yes,Rates salary as: Average,4 years ago,"Melbourne, Victoria, Australia",4.0,4.0,5.0,4.0,5.0,5.0,5.0,SEEK
"‘Leaving SEEK is & always will be one of the biggest regrets of my life. Trust me, the grass isn’t greener. Still I touch with some of the best friends I’ve ever made & some of the best years of my life.’",Sales Consultant,Great people. Amazing culture. Excellent product. Happy customers.,New staff not recognising the efforts of long term. People that work there generally stay a long time so it’s hard to move around.,Recommends working here: Yes,Rates salary as: Average,2 years ago,"Melbourne, Victoria, Australia",4.0,5.0,5.0,3.0,4.0,5.0,4.0,SEEK
‘Great company with many benefits & perks along with a brilliant culture’,Account Manager,Excellent work/life balance. Culture & benefits + perks are right up there with the best companies,Turning into a very corporate company & need to make sure they don't lose sight of what made Seek so great,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Melbourne, Victoria, Australia",2.0,5.0,5.0,4.0,5.0,5.0,5.0,SEEK
‘Extremely supportive and amazing work culture’,Customer Service Representative,"Amazing team to work with, Management actually care and invest time in your development.",Taking on extra work on top of your current workload,Recommends working here: Yes,Rates salary as: Average,1 year ago,"Melbourne VIC, Australia",5.0,5.0,5.0,5.0,5.0,4.0,5.0,SEEK
‘Best company I have ever worked for’,Designer,"Very laid-back atmosphere, healthy work-life balance, diversity valued. The company is very generous with their benefits and perks. Fantastic amount of transparency with what's going on around the wider company with regular product showcases, Q&A sessions and talks. Fun off-site events like team-building days and carnivals. Redundancies/restructures appear to be a very rare occurrence. It's these sorts of things that make employees want to give their utmost in the work that they do. ",Too early in my tenure to find anything that stands out at this stage. Many challenges seem to be addressed quite well at SEEK.,Recommends working here: Yes,Rates salary as: Average,6 months ago,"Melbourne VIC, Australia",5.0,5.0,5.0,5.0,4.0,5.0,5.0,SEEK
‘A career highlight being part of this business - dont expect another company will ever compare’,Operations Manager,"Great strategy ang highly successful
Relentless focus on doing the right things for long term success not short term bottom line",Promotion at senior levels,Recommends working here: Yes,Rates salary as: Average,2 years ago,"Melbourne VIC, Australia",5.0,5.0,5.0,5.0,5.0,4.0,5.0,SEEK
‘Simply a great place to come to work everyday’,Human Resources Consultant,"Smart people, world-class products, awesome working environment, executive team is very team strong","Moving from an Australian focused business to a global market means it challenging to keep to great family, startup feel culture",Recommends working here: Yes,Rates salary as: High,3 years ago,Melbourne,4.0,5.0,5.0,4.0,5.0,5.0,5.0,SEEK
‘My dream job!’,Senior Marketing Associate,"Amazing culture, exciting work, progressive organization and employees (and diversity) are truly valued.","The challenges aren’t negative, but I’m stimulated by the work and the fast-paced environment which can be challenging at times but in a positive way.",Recommends working here: Yes,Rates salary as: High,2 years ago,"Melbourne VIC, Australia",5.0,5.0,5.0,5.0,5.0,5.0,5.0,SEEK
‘Awesome place to work’,Marketing,Great place to work with excellent culture. People are motivated to succeed and are passionate about the business and what it stands for.,Like any business growing from a start-up to a large company there are some operational challenges.,Recommends working here: Yes,Rates salary as: High,4 years ago,"Victoria, Australia",4.0,4.0,5.0,5.0,5.0,5.0,5.0,SEEK
‘The best corporate to work for in Australia.’,Strategy Manager,"Surrounded by great people, and a compelling purpose to work towards every day. Also access to a host of smaller start-ups that seek owns for great career opportunities. ",Some people here are attracted by perks and not necessarily as driven as others,Recommends working here: Yes,Rates salary as: High,6 months ago,"Melbourne VIC, Australia",5.0,5.0,5.0,5.0,5.0,5.0,5.0,SEEK
"‘Like family. Wonderful people, awesome technology and great business’",Account Manager,"Great culture, wonderful leadership team. Very customer focused and terrific career opportunities for committed high performers","As it's a relatively flat structure, there is only so far you can go in terms of moving up the tree",Recommends working here: Yes,Rates salary as: High,9 months ago,"Melbourne VIC, Australia",5.0,5.0,5.0,5.0,5.0,5.0,5.0,SEEK
‘Making a difference in people's lives while being yourself at work.’,Product,A great people focus from leadership. Long term view placing customers before profits.,Sometimes innovation is a bit too constrained.,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Melbourne, Victoria, Australia",5.0,5.0,5.0,5.0,5.0,4.0,5.0,SEEK
"‘A company that respects and rewards employees - wouldn't work anywhere else, except if I wanted to move overseas’",Snr Business Analyst,Way they treat employees,Reporting capabilities,Recommends working here: Yes,Rates salary as: High,4 years ago,"Melbourne, Victoria, Australia",5.0,5.0,5.0,5.0,5.0,5.0,5.0,SEEK
‘Would recommend anyone to come and work at Seek’,Senior Sales Account Manager,"Challenging work, with big clients, and great people around the place",As the economy gets weaker the targets remain high. But fair.,Recommends working here: Yes,Rates salary as: High,1 year ago,"Melbourne VIC, Australia",4.0,5.0,4.0,4.0,5.0,5.0,5.0,SEEK
"‘A place to learn, challange and to be challanged.’",Principal Developer,"A welcoming environment, with an opportunity to develop and help SEEK users.","Large teams sometimes, which makes decision making slow.",Recommends working here: Yes,Rates salary as: High,4 years ago,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,SEEK
‘It doesn't feel like work.’,Social Media,"The people are amazing,  and the opportunities are there if you want them.",Finding a more manageable work/life balance,Recommends working here: Yes,Rates salary as: High,2 years ago,,5.0,4.0,4.0,5.0,5.0,5.0,5.0,SEEK
‘It's a cult.’,Customer Service Representative,"Free food, the christmas party, hackathons, colleagues","Seek likes to describe themselves as a start-up company due to the culture and 'hip' working environment but, let's be honest, in a business with 900 employees, you're still just a number.  management, in my experience, was not great and i was made to feel like i was never good enough.",Recommends working here: No,Rates salary as: Average,1 year ago,"Melbourne VIC, Australia",3.0,5.0,5.0,1.0,5.0,4.0,3.0,SEEK
‘Don't miss out on a working at SEEK experience!’,Product Manager,Great people to work with and exicting problems to solve!,Can sometimes be difficult to navigate the myriad of decision makers and opinion holders. Get ready to get your stakeholder on!,Recommends working here: Yes,Rates salary as: High,1 year ago,"Melbourne VIC, Australia",5.0,5.0,5.0,5.0,4.0,3.0,5.0,SEEK
‘Have been able to grow a career at SEEK’,Senior Account Manager,The best people in the business - like minded peers - focused on the client rather than profit,Transport is a challenge if you want to catch public transport (train) as located outside of the CBD,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Melbourne, Victoria, Australia",5.0,5.0,5.0,5.0,4.0,4.0,5.0,SEEK
‘Good place to work.’,QA Specialist,"Funky office, good culture, flexible work hours.",Could be a bit closer to the CBD.,Recommends working here: Yes,Rates salary as: High,4 years ago,"Melbourne, Victoria, Australia",4.0,5.0,4.0,4.0,4.0,4.0,4.0,SEEK
"‘I've worked in Melbourne at various dotcoms over the last 20 years, and SEEK is unreservedly the best company I've worked for’",Senior Software Developer,The best collaborative people that you can grow with,The location is not the easiest to commute to.,Recommends working here: Yes,Rates salary as: High,2 years ago,"Melbourne, Victoria, Australia",5.0,5.0,3.0,5.0,5.0,5.0,5.0,SEEK
‘Nice team first culture’,Customer Service,Great environment with wonderful culture,Difficulty advancing anywhere internally,Recommends working here: Yes,Rates salary as: Average,2 years ago,"Melbourne VIC, Australia",3.0,5.0,5.0,4.0,5.0,4.0,4.0,SEEK
‘Nice place to work’,Software Engineer,Good environment. Lots of things to learn and equality is being promoted.,Peer pressure. You get the perks and feel obliged to do more!,Recommends working here: Yes,Rates salary as: High,3 years ago,"Melbourne, Victoria, Australia",5.0,5.0,5.0,5.0,4.0,5.0,5.0,SEEK
‘Totes awes’,Developer,"Awesome people, Awesome culture, awesome perks",Challenging​ work with new stack,Recommends working here: Yes,Rates salary as: Average,3 years ago,Melbuorne,5.0,5.0,5.0,5.0,5.0,5.0,5.0,SEEK
‘Proud to be part of a great Australian company’,Senior Account Manager,Incredible brand always evolving and great leadership from the top,Technology challenges in the regions,Recommends working here: Yes,Rates salary as: Average,2 years ago,"South Australia, Australia",4.0,5.0,5.0,4.0,4.0,5.0,4.0,SEEK
‘Great corporate culture. It’s fun to be a part of something big.’,Software Engineer,"Massive business with many opportunities, very social, enjoyable work environment. Fantastic employee perks ","Highly dependent on the team you work in. I found the work to be very slow and did not feel very engaged.

Team relations were occasionally strained",Recommends working here: Yes,Rates salary as: High,1 year ago,"Melbourne VIC, Australia",3.0,5.0,4.0,3.0,5.0,5.0,4.0,SEEK
‘Great tech startup but steps towards corporatising could make it less fun in a few years’,Senior Strategy Manager,"Great people, income protection insurance, travel insurance, personal dev presentations, tons of events","Office is pretty old, insufficient meeting rooms, business is corporatising (so more restructures, more layers, etc)",Recommends working here: Yes,Rates salary as: Average,6 months ago,"Melbourne VIC, Australia",4.0,5.0,4.0,4.0,4.0,5.0,4.0,SEEK
‘Great company’,Marketing,The people are amazing and feel empowered to work to their potential,We are trying to do so many things and this can create challenges,Recommends working here: Yes,Rates salary as: Average,2 years ago,"Melbourne VIC, Australia",3.0,4.0,4.0,4.0,5.0,5.0,4.0,SEEK
‘A job to make it easier for others to get jobs’,Finance Manager,"Management look long term - not driven by short term profits. 
Great culture, smart people",Lots going on at any one time,Recommends working here: Yes,Rates salary as: High,4 years ago,"Melbourne, Victoria, Australia",5.0,5.0,5.0,5.0,5.0,4.0,5.0,SEEK
‘Great company to work for’,UX Designer,"It's great to work with so many smart, talented and nice people",It can take a long thing to get things done!,Recommends working here: Yes,Rates salary as: High,4 years ago,"Melbourne, Victoria, Australia",3.0,4.0,5.0,4.0,5.0,5.0,4.0,SEEK
‘Good place to grow’,Senior Software Developer,"Flexible working hour, unlimited sick leave, work from home, agile","Work hard, care about people, be productive",Recommends working here: Yes,Rates salary as: High,2 years ago,"Victoria, Australia",5.0,5.0,5.0,5.0,5.0,5.0,5.0,SEEK
‘I have my dream job in a wonderful company.’,Video Content Producer,"An inclusive, supportive and highly motivating working environment. The work flexibility is also fantastic.",Product lead organisation so marketing is often treated as second fiddle,Recommends working here: Yes,Rates salary as: High,4 years ago,"Melbourne, Victoria, Australia",4.0,5.0,5.0,4.0,5.0,5.0,5.0,SEEK
‘The early days were the best days.’,Sales Consultant.,Some of the team leaders were great and supported their team,Politics in the place. Favoritism and not giving the tools for the consultants to hit their targets.,Recommends working here: No,Rates salary as: Average,4 years ago,"Sydney, New South Wales, Australia",2.0,4.0,4.0,3.0,3.0,2.0,3.0,SEEK
‘Love my time ’,Senior Strategic Analyst,Culture and strong support for staff,Strategy and tech lead.  Hard for people outside of these disciplines ,Recommends working here: Yes,Rates salary as: High,1 year ago,"Melbourne VIC, Australia",5.0,5.0,5.0,5.0,5.0,5.0,5.0,SEEK
‘So much support and opportunity’,Associate Product Manager,The people are amazing. All a grade players who inspire you to grow. Certainly know how to have a laugh!,Recently transitioned to an agile work environment but some people still think in waterfall. Getting better though!,Recommends working here: Yes,Rates salary as: Average,4 years ago,Melbourne,5.0,3.0,4.0,4.0,5.0,5.0,5.0,SEEK
