title,job_title,pros,cons,recommendation,salary,date,location,career_opportunity_rating,work_life_balance_rating,work_env_rating,management_rating,benefits_rating,diversity_rating,overall_rating,company
‘The Up's and the Down's of working at Vodafone’,Retail Marketing Coordinator,"I enjoyed working with all the different people. Everyone was highly educated and motivated. The structure of the company was of the highest I have ever worked in. They even had 6 Sigma Black Belts training.
Great perk was the free phone and plan.",Working in a highly fast pace company can be demanding. You really need to manage your time well and learn how to push back on stakeholders. There was also a few political debates with management in regards to moving to the top of the corporate ladder.,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Sydney, New South Wales, Australia",2.0,4.0,3.0,1.0,4.0,3.0,3.0,Vodafone
‘Best job I’ve ever had!’,Store Manager,"Engaging and collaborative culture.
Area/location I worked in left little room for promotion, however my leaders always found ways to continue to develop myself and my team and keep us engaged","Sometimes different leaders had different ‘approaches’ and weren’t as accomodating as others.. however this was a short lived experience for me, and I still worked there for a significant period of time.",Recommends working here: Yes,Rates salary as: High,1 year ago,"Victoria, Australia",5.0,5.0,5.0,5.0,5.0,5.0,5.0,Vodafone
‘Awesome values based company with opportunities to learn and grow and be rewarded for extremely hard and sometimes difficult work.’,Specialist Sales And Retention,"Great training facilities and trainers who are upto date with the best ways to sell a plan, phone or data product. The best training for customer service roles and conflict resolutions. 
Variable 7 day rosters - can choose to start early finish early or start around midday enabling sports training or attend appointments. Weekend work (time & half or double on Sundays) frees up a week day or two for things like shopping.",Targets and KPI's are set almost as a challenge. No commission if not 100% reached each month.  Some restrictions on what can be used in a conflict resolution. Sometimes a competitor would give extra rewards / discounts for switching to their provider and marketing wouldn't allow a match to secure the contract.,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Hobart, Tasmania, Australia",4.0,4.0,5.0,3.0,5.0,5.0,4.0,Vodafone
‘Retail gopher on a sl4ve wage disguised by empty commission promises’,Store Manager,Don’t have to think about your job. sometimes you get discounts on services. you can do your groceries during your shift if you work in mall retail. it’s a big company so you can complain to an ombudsman if they mess up your pay ,"The company is a mess and all you’re doing is calling employee support to get discounts that people are promised over the phone and not given. 

efforts go completely unnoticed and enhanced careers are only afforded to those living in major cities. ",Recommends working here: No,Rates salary as: Low,1 year ago,"Kotara NSW, Australia",1.0,1.0,1.0,1.0,1.0,1.0,1.0,Vodafone
"‘Never had so much fun while being at work, while earning good money’",Sales Representative,"Great people, really helpful if your a new employee. Training provided is in depth and ongoing training is provided in store as you develop your skill set. Management that I experienced was fair, kind and understanding. Great place to work for a career or as a place to earn good money while studying. Flat rate plus sales bonuses with reasonable monthly targets. I personally have never worked in a better environment and met some really great people and learned valuable skills and gained great experience. Plus the company always pays for dinner and drinks when they call a statewide meeting!",It is a customer service job. So sometimes you have to deal with difficult situations. Unhappy customers and sometimes there are technical.issues with the computers and this can frustrate both fellow employees and customers. Vodafone sells phones and tablets and mobile internet so another challenge is learning how to use the products your selling.,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Joondalup, Western Australia, Australia",4.0,4.0,5.0,5.0,4.0,5.0,4.0,Vodafone
‘Amazing and inclusive company that encourages you to be the best you can be and supports you along the way.’,Head Of Channel Operations,"Great collaborative, creative and inclusive organisation.  The diverse people are amazing, and it is a great environment to learn and grow.","Constantly evolving organisation where deadlines and objectives can be tight, however this agile environment is amazing for career growth and opportunities.",Recommends working here: Yes,Rates salary as: High,6 months ago,"North Sydney NSW, Australia",5.0,5.0,5.0,5.0,5.0,5.0,5.0,Vodafone
‘Four seasons in a day’,Assistant Store Manager,"Generally steady stable work, good people to work with and fun being around new technology all the time","Different people everyday,every job has its routines but the people you interact with everyday are different and want/need different things. Not easy to solve sometimes impossible but it keeps thing's interesting.",Recommends working here: Yes,Rates salary as: Average,4 years ago,"Sydney, New South Wales, Australia",4.0,3.0,4.0,5.0,5.0,4.0,5.0,Vodafone
"‘I loved working with Vodafone, I miss the work culture so much. If it wasn’t for my own personal career development I wouldn’t have left’",Retail Sales Representative,"Vodafone provides such a great work culture which fosters inclusion, diversity and being your true self at work. Great part time job for a uni student, very flexible in terms of hours and time off","Monthly targets, dealing with high volume of demanding customers",Recommends working here: Yes,Rates salary as: Average,2 years ago,"Parramatta NSW, Australia",3.0,5.0,5.0,4.0,5.0,5.0,5.0,Vodafone
‘Exciting and challenging yet driven by unsaid culure’,Business Program Manager,Ability to grow and experience cross functional opportunities,Politically driven behaviours,Recommends working here: Yes,Rates salary as: High,4 years ago,"Melbourne, Victoria, Australia",4.0,3.0,4.0,3.0,5.0,5.0,4.0,Vodafone
"‘Well I have dealt so many customers.And I will just say I JUST LOVE TO BE PART OF VODAFONE .I FEEL LIKE IT IS MY SECOND HOME \""’",Vodafone Sr Sales Executive,Good things about this job because I love it ..If you love to talk with the people and you care people by heart its one of the the best job For you  I bet....,"Oh yea..
Heaps of challenges
One of the challeng u need to understand ur co workers,new culture,work environment.If u r good attitude manners respectful friendly and work habits will show that u r professional,
At some point u will do the mistake,but try to learn from the mistake.
Time management: u have to be very very flexible.
U must hv know the work ethics 
Problem with the boss :Offer a solution that will help the both of u meet ur goals and look good
Prepare of consequences",Recommends working here: Yes,Rates salary as: Average,4 years ago,"Melbourne, Knoxfield, Victoria, Australia",4.0,4.0,4.0,4.0,4.0,3.0,4.0,Vodafone
