title,job_title,pros,cons,recommendation,salary,date,location,career_opportunity_rating,work_life_balance_rating,work_env_rating,management_rating,benefits_rating,diversity_rating,overall_rating,company
"‘Overall, it was the best 8 months of my career and I'd do it all over again. ’",File Assessor,"The best team I've ever worked with
The work/life balance
The environment/facilities
The priveledge of working at Westpac ","A manager who offered me absolutely no feedback from day 1, who showed no interest in my work or my future at Westpac. 
The non existence of achieving something worthwhile, as the role could be quiet monotonous. But I made the best of it. ",Recommends working here: Yes,Rates salary as: Average,6 months ago,"Barangaroo NSW, Australia",2.0,5.0,5.0,1.0,5.0,5.0,5.0,Westpac Banking Corporation
"‘A constant challenge to find solutions for customers with technology that is out of date, and offshore teams whom don't understand customer service.’",Personal Banker,There is s good culture of customer focus compared to other banks I have worked for.,"The technolog for staff is atrocious. They are at least 5 years behind CBA in technology for staff. They created a huge gap between staff and customer engagement as the customer has better technology. Also, the level of offshoring is ridiculous.",Recommends working here: No,Rates salary as: Average,4 years ago,"Ipswich, Queensland, Australia",2.0,2.0,2.0,2.0,2.0,2.0,2.0,Westpac Banking Corporation
‘A long 21 years which I loved a loathed’,"Personal Banker,Teller","The pay and benefits are fantastic..beyond market. They have a domestic 

 panel to help their staff in a vulnerable situation and help in a situation for families in need.",Old systems that they are trying to fix but all the are doing is layering new on top of old. Management on the front of house section are toxic and the Bank turns a bli d eye,Recommends working here: No,Rates salary as: High,1 year ago,"Melbourne VIC, Australia",3.0,3.0,2.0,2.0,4.0,3.0,3.0,Westpac Banking Corporation
‘If you value customers look elsewhere.’,Bank Manager,"Very little could be classed as good compared to the other banks, in various countries, I have worked for.  I suppose the best that can be said is that the work-life balance was acceptable, and whilst the working environment was \""tired\"" and technically limited it was reasonable.","The challenges began and ended with management.  No concept of staff loyalty, no concept of customer loyalty.  Motivation was stick with no carrot.  Churning for the sake of churning was the mantra with sales targets achieved without any real impact on the balance sheet (or the real profit and loss) and without any real benefit to the customer.  Indeed once the customer was \""locked-in\"" they were forgotten and exploited.  Rates (interest, exchange etc.) were at worst artificial at best exploitive.  Banks in the US and the UK have been heavily censured, fined and customers have claimed significant damages for practices encouraged.",Recommends working here: No,Rates salary as: Average,4 years ago,,2.0,3.0,3.0,1.0,3.0,3.0,2.0,Westpac Banking Corporation
‘They are great to work for as long as you aren’t in the branch environment’,Personal Banking Advisor,If you are employed outside of the retail sector they are really flexible with work hours and location. There are a few discounts for working for the company such as private health and of course banking products.,In retail banking staffing and work load are terrible. They are cutting staff and costs at an alarming rate. Micromanaging is the way of most managers.,Recommends working here: No,Rates salary as: High,2 years ago,"Gold Coast, Queensland, Australia",3.0,2.0,2.0,2.0,4.0,3.0,2.0,Westpac Banking Corporation
"‘You will survive and grow in the long run, if you are able to adapt to changes’",Senior Infrastructure Delivery Lead,"End user stable work environment, regular work hours, plenty of work (no bench time), sometime can work from home. Enterprise large scale implementation landscape to grow your experience. Processes oriented.","Changing complex processes, with many red tapes. Emails overloaded. Many compliance and regulations to follow. Quarterly motivate goals to check in and out.",Recommends working here: Yes,Rates salary as: High,6 months ago,"Kogarah NSW, Australia",3.0,3.0,4.0,3.0,3.0,4.0,4.0,Westpac Banking Corporation
‘It is a good comfortable company to spend time at’,Business Analyst,"Range of possible work is wide. Lovely working surrounds. Pleasant fellow staff, who do remember people for good work they do. Good brand to have on the CV.",Investment in data IT Systems is slow. Workload is very reactive and based on Hierarchy.,Recommends working here: Yes,Rates salary as: High,4 years ago,"Sydney, New South Wales, Australia",2.0,5.0,4.0,3.0,4.0,4.0,4.0,Westpac Banking Corporation
‘Great work life balance’,Customer Service Representative,A lot of flexibility with working times  and abilities in changing roles and facing new and exciting challenges.,Dealing with upset and angry customers can be emotionally exhausting. Working in an office with little chance for exercise,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Adelaide, South Australia, Australia",4.0,5.0,4.0,5.0,4.0,5.0,5.0,Westpac Banking Corporation
‘Friendly and flexible environment’,Business Banker,"Great flexibility in work hours and room to grow and develop your career. 
Always opportunities to move and grow within Westpac and so many different skills to learn in one place.",The only challenges faced were that the opportunities presented to be able to up skill came along quickly and sometimes not enough time to imbed the new skill before more training.,Recommends working here: Yes,Rates salary as: High,4 years ago,"Epping, New South Wales, Australia",5.0,5.0,5.0,5.0,5.0,5.0,5.0,Westpac Banking Corporation
‘This is one of the most inspiring Australian companies in Australia’,Business Support Manager,"They have a great vision to be one of the greatest service company and employer in Australia. Heavy focus on health, safety and well being for their people.",Ongoing government regulations for all banks but they see this as an opportunity to be market leading in all aspects of diversity and agile strategies.,Recommends working here: Yes,Rates salary as: High,4 years ago,"Gold Coast, Queensland, Australia",5.0,5.0,5.0,4.0,5.0,5.0,5.0,Westpac Banking Corporation
"‘Mentally, physically and emotionally draining ’",Collections Officer,"The job itself was great, peers at work made it alot easier to get through the tough days","Manager with no qualifications who have no professional knowledge on how to address people, communicate effectively and are quite rude to be completely honest 
Only 30 minute lunch break...when you're being yelled at all day by strangers on a phone, a 30 min lunch time doesnt do much good for your mental state. ",Recommends working here: No,Rates salary as: Low,1 year ago,"Adelaide SA, Australia",1.0,1.0,1.0,1.0,3.0,2.0,1.0,Westpac Banking Corporation
"‘Having been an employee for the Westpsc group for the past 18 yrs has been challenging, but also a good place to work’",Team Member,"Flexibility, having a great team leader who backs you is a great bonus, plus my TL and manager knows the process inside out is an even better bonus.","Balancing personal and work development. Knowing what you need to do for your career, and find the chance and how to get there is a bit of a challenge.",Recommends working here: Yes,Rates salary as: High,4 years ago,"Lockleys, South Australia, Australia",4.0,5.0,5.0,5.0,5.0,5.0,5.0,Westpac Banking Corporation
‘Great place to work.’,Relationship Manager,"Great work life balance and focus on women in business as well as contributing to the community (Rescue helicopters, City2Surf, Westpac Foundation etc)","General politics that come with working in a large corporate, average salary, less than desirable technology.",Recommends working here: Yes,Rates salary as: Average,4 years ago,"Sydney, New South Wales, Australia",4.0,5.0,4.0,4.0,5.0,5.0,4.0,Westpac Banking Corporation
"‘Great people, great environment, great company.’",Customer Service Representative 1,"Benefits are amazing, if you want to move up you can. The working hours are consistent and are normal. No need for overtime normally. 
The work is various each day as there are many financial services westpac provide so it's a good mix up.","The referrals each week are challenging, especially if you work in a quiet branch.
Dealing with various customer complaints and keeping them happy.
Juggling in office work, constant stream of customers and doing side jobs can sometimes get a little overwhelming but usually colleges are willing to jump in and help- if they are trained in that area.",Recommends working here: Yes,Rates salary as: Average,4 years ago,,4.0,5.0,4.0,4.0,5.0,5.0,4.0,Westpac Banking Corporation
"‘A big mistake, but I managed to leave a get my career on track.’",Senior Manager,None. Appalling work environment. Very political. Herd mentality. Achievers leave a place like Westpac.,Political. You rise in the organisation based on who likes you rather than delivery. Women favoured over men in promotion because of female leader quota.,Recommends working here: No,Rates salary as: Average,4 years ago,"Sydney, New South Wales, Australia",1.0,3.0,1.0,1.0,2.0,2.0,1.0,Westpac Banking Corporation
‘A lot of opportunity to learn. Some good and some bad experiences.’,Senior Manager,Good perks such as leave entitlements and flexible working where manager permitted. Also many opportinities to explore different functions.,"Sometimes those who are promoted to be leaders are provided enough training to be good leaders, merely great at their function which results in less than ideal leadership of teams.",Recommends working here: No,Rates salary as: Low,1 year ago,"Sydney NSW, Australia",4.0,4.0,3.0,1.0,5.0,2.0,3.0,Westpac Banking Corporation
"‘By focusing to deliver superior service, I have been selected to assist and train other staff, as well as been featured in the Westpac News!’",Business Analyst,"It's a large organisation that allows for promotion and to experience and learn more advanced financial instruments.  Team bonding sessions are wonderful, as well as social activities to better know the colleagues.","Dealing with difficult people and at times, impersonal types in management positions.",Recommends working here: Yes,Rates salary as: Average,4 years ago,"Sydney, New South Wales, Australia",5.0,3.0,4.0,4.0,3.0,3.0,4.0,Westpac Banking Corporation
‘Loved my position and would still be there except our Centre was closed and moved to the eastern states.’,Customer Support Manager,"Full training and support at all times, mentoring programs, lots of incentives and good bonus program.","Difficult customers, some unreasonable expectations in certain situations, some restricted guidelines when trying to meet customers needs.",Recommends working here: Yes,Rates salary as: High,4 years ago,"Perth, Western Australia, Australia",5.0,5.0,5.0,4.0,5.0,5.0,5.0,Westpac Banking Corporation
‘Great learning environment and you can take charge and be proactive.’,Senior Business Analyst,"Diversity of business and therefore work and lots of projects in different domains. Retail, Business and Institutional banking, wealth and insurance domains.",Competing business priorities and fund means sometimes management can be unclear about what they want and when they want it.,Recommends working here: Yes,Rates salary as: High,4 years ago,"Sydney, New South Wales, Australia",5.0,5.0,5.0,4.0,5.0,5.0,4.0,Westpac Banking Corporation
‘14years of growth and learning with great lifelong friendships made in a flexible working environment.’,Credit Assessor,"Diversity policy, no discrimination, flexibility. 
Great people, good perks, large organisation and career opportunities.","Offshoring many departments and having to fix their mistakes with no accountability for errors made by them.
Too many Indians and sometimes too many chiefs with neither knowing what the other is doing on occasions.",Recommends working here: Yes,Rates salary as: High,4 years ago,"Adelaide, South Australia, Australia",4.0,4.0,3.0,3.0,4.0,4.0,4.0,Westpac Banking Corporation
‘Pretty good so far’,Training Manager,"The people here are pretty great, everyone in my wider team enjoy being together. Theres a huge push for work life balance and no one is in the office past 6. Love my work and looking forward to being here for a while.",As with any company its really about the department you're in rather then the compaby as a whole. My department is prettt great but others might not be.,Recommends working here: Yes,Rates salary as: High,2 years ago,"Sydney NSW, Australia",3.0,5.0,5.0,4.0,5.0,5.0,5.0,Westpac Banking Corporation
"‘A long career where opportunities abounded, however recent change has adversely impacted a once great culture.’",Senior Banker,A diverse range of jobs within one organisation to develop skills. Opportunities may exist for a varied and long career with smart people.,"Despite having some great people, there are certain individuals that drive a culture that can be driven by fear in an environment of great change. Like many businesses having the correct strategy can only drive great business outcomes if the execution is correct. Culture is at the heart of this problem and until the organisation returns to the culture that once made it an employer of choice, it would be hard to recommend it as a place where diversity of thought and true courage can exist now.",Recommends working here: No,Rates salary as: High,3 years ago,Various,3.0,3.0,1.0,1.0,2.0,3.0,1.0,Westpac Banking Corporation
‘I learnt what not to be to be successful.’,Sales Manager,"I was impressed with the long tenure for employees averaging at 10yrs. After speaking with majority of employees, they advised they were being paid well enough for the amount of work. Also wasn't difficult for them to travel to work due to westpac having two call centre locations. People were genuinely friendly though leadership displayed minimal value for their people. Their favourite phrase when I challenged their ways was \""it is what it is\""  therefore no vision for positive change at all. If I can sum up my experience there, I'd say people were genuinely lovely and friendly people.","Employees lacked aspiration, motivation and passion for anything. They came in to do bare minimum and go home for their pay. No vision or direction for the future, leadership hated change even if it was positive. They were set in their ways and did not value people, therefore people did not have any motivation or passion and most importantly Respect!",Recommends working here: Yes,Rates salary as: Average,4 years ago,"Epping, New South Wales, Australia",3.0,3.0,2.0,2.0,3.0,2.0,3.0,Westpac Banking Corporation
‘The best 21 years of my working career’,Home Finance Manager,I spent 21 years with Westpac and it was due to their geat culture and training that I now have such a  professional and awesome skill set.,"There are many challenges, but there are so many great people working there who are willing to back you and help you that any challenge you are are fronted with is achievable.",Recommends working here: Yes,Rates salary as: High,4 years ago,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Westpac Banking Corporation
‘Woefully regrettable time at an institution that has little resoect from insiders’,Null,Some minor account perks,"Call centre management micro managing and drip feeding phone staff; cronyism and incompetence at many levels of management.
Incredible waste of $millions by incompetence and poor comms within online development \""team\""
What a disgrace to IT fraternity -and WBC shareholders",Recommends working here: No,Rates salary as: Low,4 years ago,,2.0,2.0,3.0,1.0,2.0,4.0,2.0,Westpac Banking Corporation
"‘Both the banks were great place to work and I would be happy to go back to work for these banks if given opportunity,’",Customer Service Representative,A lot of opportunities for learning and crosstraining. Sharing your ideas was encouraged. Regular one on one discussion with the team leader/manager gave the opportunity for discussing future development and the performance review.,To get both positive and negative feed-back and work on negative to turn them to positive and meeting KPIs were not difficult but challenging.,Recommends working here: Yes,Rates salary as: High,4 years ago,"Sydney, New South Wales, Australia",5.0,5.0,5.0,5.0,5.0,5.0,5.0,Westpac Banking Corporation
