title,job_title,pros,cons,recommendation,salary,date,location,career_opportunity_rating,work_life_balance_rating,work_env_rating,management_rating,benefits_rating,diversity_rating,overall_rating,company
‘Over all I had fun witht he company until towards the end.’,All Departments,Working with staff everyday. The ability to work in different departments..,Working with new management all the time. In particular store managers and second in charges. Too many changes with rules and requirements. They don't appreciate staff that had been there a long time. Too busy telling us we are easily replaced.,Recommends working here: No,Rates salary as: Average,4 years ago,"Perth, Western Australia, Australia",3.0,4.0,3.0,2.0,3.0,3.0,4.0,Woolworths Supermarkets
‘Great employer with opportunities for career advancement.’,Department Manager,"Great opportunities for career advancement for the right people, good team environment, stable hours, opportunities to move across divisions within company, good training and development programs. National employer gives opportunity to relocate and continue to work for the company.","Working within time frames and budget constraints, in a fast paced evolving environment. Building and developing effective teams to comply with industry standards.",Recommends working here: Yes,Rates salary as: Average,4 years ago,"Taree, New South Wales, Australia",5.0,4.0,4.0,4.0,3.0,4.0,4.0,Woolworths Supermarkets
‘More than just checkouts and filling shelves!’,Store Services Officer,"Definite opportunities for career advancement if that's what you're looking for.  I started as casual checkout operator, and now I am full-time Store Services Officer - which is store administration.",Meeting deadlines with rosters and costings.  Sometimes having to chase up various documentation from department managers.  Making sure everyone is getting paid right.,Recommends working here: Yes,Rates salary as: Average,3 years ago,Perth - Secret Harbour and Baldivis,4.0,4.0,4.0,4.0,3.0,4.0,4.0,Woolworths Supermarkets
‘Pleasant and professional.’,Frontend Worker,"Friendly work environment, caringand understanding management","Being permanent part-time, it can be difficult sometimes to make ends meet, especially if a big bill is due.",Recommends working here: Yes,Rates salary as: Average,4 years ago,"Lilydale, Victoria, Australia",4.0,5.0,3.0,4.0,3.0,4.0,4.0,Woolworths Supermarkets
"‘Great job for while you're in high school and don't have any bills, otherwise not reliable.’",Casual Staff Member,During peek sales periods; casuals get great hours. Management are friendly and willing to take your considerations on board. Willing to work around you as much as possible.,"During slow periods. Casuals are forgotten about. Management are constantly told to cut wages. This leaves skeleton staff that then get abused by customers when they do not get great service. 
The \""rules and expectations\"" constantly change and are not explained in great detail.",Recommends working here: Yes,Rates salary as: Low,4 years ago,"North Lakes, Queensland, Australia",3.0,2.0,3.0,4.0,3.0,4.0,3.0,Woolworths Supermarkets
‘Working there is definitely positive but could be improved with time.’,Cashier,"Good organisation and the breaks, its a big company that has all the small parts of employees jobs figured out.","Its difficult to keep up the work load of life and work, not because the work is hard but working regularly. Not having enough to do during work sometimes.",Recommends working here: Yes,Rates salary as: Average,4 years ago,"Brisbane, Queensland, Australia",4.0,3.0,4.0,3.0,3.0,4.0,3.0,Woolworths Supermarkets
"‘Little bit of good, little bit of bad’",Produce Assistant,"If you know what is happening, then they will take interest in you and maybe develop the skills for you. The customer relation ships you can make as well are a big bonus. The constant work will keep you in a good shape","Trying to get a full time position is hard, they are always cutting budgets, making it harder for staff to keep up with the demand on customers with less and less time and help to do it, and then the company asks more for the staff to do(new promo displays, they use to do a plan, now the staff must design it each week, and it changes twice a week, and specials usually aren't shown till the day before). If you try to get noticed then you pretty much be a favourite by a manager too.",Recommends working here: Yes,Rates salary as: Low,4 years ago,"Brisbane, Queensland, Australia",1.0,2.0,4.0,3.0,3.0,3.0,3.0,Woolworths Supermarkets
‘Proper planning prevents poor performance’,Shift Supervisor,The really great thing is you get to go home at the end of each shift and they might pay you for the overtime that you put in to clean the fresh food section so that customers don’t get sick from cross contamination in foods.,"Finding someone to cover your tea break when you are left on your own to work in the deli on a Sunday. 

Colleagues not turning up which forces you to do a close shift on your own. You are also forced to work over Christmas and Easter.",Recommends working here: No,Rates salary as: Low,2 years ago,"Western Australia, Australia",1.0,1.0,1.0,1.0,1.0,1.0,1.0,Woolworths Supermarkets
"‘Good pay for reasonable work, but wears on the body physically.’",Team Member / Longlife Assistant,A sound work culture and experience with colleagues of similar age. Reasonable work for slightly generous hourly rates and reasonable benefits of discounts across Woolworths Limited brands. Very flexible management whom allowed for a roster that worked best with my lifestyle and commitments. Also a great job to earn whilst studying without too great a demand of workload.,Labour intensive work wears on the body and can become strenuous. Time constraints and poor training in some instances resulted in poor work outcomes and attitudes from colleagues. High probability of covering the shifts of others due to a young workforce.,Recommends working here: Yes,Rates salary as: Average,4 years ago,"West Pennant Hills, New South Wales, Australia",2.0,4.0,3.0,3.0,2.0,5.0,3.0,Woolworths Supermarkets
‘That's why I pick Woolies.’,Cashier - Customer Services,The teams' attitude and work ethic is great and it really boots your confidence when communicating with customers all the time.,There are always going to be people that are hard to work with but that can easily be avoided if you consult your manager.,Recommends working here: Yes,Rates salary as: Average,3 years ago,Lavington,4.0,5.0,5.0,4.0,5.0,5.0,4.0,Woolworths Supermarkets
‘Woolworths has taught me stability and routine that flows into my personal life.’,Store Services Officer,"You develop long lasting friendships with other employees. Woolworths cares about your family life, and sports commitment. I enjoy working ther due to excellent routine and discipline actions in place.",Management encourages you to think outside the box. To push yourself just that extra more. If you have an issue they encourage you to come up with a solution yourself before approaching you line manager.,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Mackay, Queensland, Australia",5.0,4.0,4.0,3.0,4.0,4.0,4.0,Woolworths Supermarkets
‘Would do it all over again.’,Customer Service Manager,"Over my 11 year tenure with Woolies, I felt my experience was unique as I didn’t always do just my job description.","Dealing with some people were challenging, as they were challenged with change, ",Recommends working here: Yes,Rates salary as: High,1 year ago,"Coffs Harbour NSW, Australia",5.0,3.0,4.0,5.0,5.0,5.0,5.0,Woolworths Supermarkets
‘Lifetime friendships are made at Woolworths.’,Service Deli Assistant,"For a single parent with school age kids it offers a fantastic work/life balance.  Always busy, always something to do.  Fantastic people of all ages.  I've made some great friends.  If you've got the drive to move up the ladder there are always opportunities to learn.  Good work perks including  staff sales and discounts, a social club and online community.  Lots of local fundraising activities to help out local clubs and schools.","Never enough staff on.  It annoys customers and also makes our job very difficult.  Pay could be better for the amount of work we do behind the scenes.  Can be high pressure at busy times like Christmas.  Expectation to available from open to close across 7 days can be challenging.  Angry customers are never fun, but you need to learn to not take it personally, but still do you best to resolve their issue.",Recommends working here: Yes,Rates salary as: Average,4 years ago,"Beaconsfield, Victoria, Australia",3.0,4.0,4.0,3.0,5.0,5.0,4.0,Woolworths Supermarkets
‘Hard - but also one of a kind experience I have ever had.’,Replenishment Team Member,"I enjoyed what I am doing, it's a tough job, but what I have loved the most is the camaraderie within the company. Managers are indeed helpful and very supportive in your career growth.","The challenges is that you have to lift heavy things from time to time. You also need to adopt the fast pace environment, otherwise, you will be left behind.",Recommends working here: Yes,Rates salary as: Average,4 years ago,"Plumpton, New South Wales, Australia",3.0,2.0,3.0,3.0,2.0,3.0,3.0,Woolworths Supermarkets
"‘I spent three years there at Alcolizer and would say it was a great experience during my tenure there. Unfortunately I had to leave due to moving interstate. Overall, it was a very interesting and enjoyable workplace experience. You develop a skill set th’",Drug Tester/Specimen Carrier,"-Great working environment with very good support from co workers
-Get to travel and meet new people from clientele base, from metropolitan to rural areas.
-Great remuneration as they offer excellent training and support
-Company notebook, ipad and business phone provided.
-Petrol subsidy and accommodation for extended travel","-A lot of driving so be prepared to service your car more often. However that is not too bad thing if you like driving.
-Expect the unexpected, the workplace is very dynamic. However it will allow you to thrive and grow when you go into the deep end.",Recommends working here: Yes,Rates salary as: High,2 years ago,"Sydney, New South Wales, Australia",4.0,4.0,5.0,5.0,4.0,5.0,5.0,Woolworths Supermarkets
‘Overall it was ok. Left because of lack of future opportunities. Sometimes it feels like you are working for a sole proprietor instead of a company. Life here depends a lot on your store manager’,Inventory Assistant,"Some of the managers are great people, having extraordinary communication and people skills. Company is always introducing something new as in processes and helping employees with the career development","If you wanna do it as a part time job, then go for it. If you want to make career of it, make sure you have 5-8 years at least in your calendar",Recommends working here: Yes,Rates salary as: Average,4 years ago,"Sydney, New South Wales, Australia",2.0,2.0,3.0,3.0,3.0,3.0,3.0,Woolworths Supermarkets
"‘\""GREAT JIB SECURITY AND CAREER ADVANCEMENTS\""’",Console Operator,Woolworths will allow room to grow for employees with great potential.. The best part is that they supply the best training for your job including workplace health and safety.,For me it was the balance between work and family,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Ipswich, Queensland, Australia",5.0,3.0,4.0,4.0,3.0,5.0,4.0,Woolworths Supermarkets
‘Fun and supportive environment to work in’,Service Supervisor,"I absolutely loved working at Woolworths. All my managers were fantastic and supportive of my studies outside of work. When it came to shifts I was able to work comfortable hours and there was always opportunities to pick up some extra hours, particularly during holidays. The staff were fantastic and I have made so many frienships over the years. After working with the company for so many years there was always new things to learn and opportunities to further my skills and development.",Sometimes you would come across some difficult customers but it comes with experience when dealing with them. At the end of the day you want to deal with the situation as efficiently as you can and hopefully they leave the store satisfied.,Recommends working here: Yes,Rates salary as: High,4 years ago,,5.0,5.0,5.0,5.0,5.0,5.0,4.0,Woolworths Supermarkets
‘Working in a  retail environment like Woolworths is perfect for a Uni Student’,Longlife Assistant,"- Having flexible working hours
- Able to work for other departments in the store
- Ability to develop your career further at Woolworths
- Able to work at other store with no hassle
- Built great communication skills with customers","- Sometimes found it difficult to adjust working hours
- Working in freezers and milk fridges frequently
- Spend most of your shift working by yourself",Recommends working here: Yes,Rates salary as: High,4 years ago,"Cranbourne North, Victoria, Australia",4.0,3.0,3.0,3.0,4.0,4.0,4.0,Woolworths Supermarkets
"‘Long shifts, hard work, ok pay, protected rights’",Deli Assistant,"Once you get the job, you're pretty unlikely to be fired. They have a very good union, so your rights (breaks, holiday pay, non-bullying, guaranteed hours, etc) are protected. If you show up and work hard you'll probably end up being promoted.","It's a supermarket. You'll work hard the whole time. You're on your feet all day. Long shifts. High expectations to learn quick, work very hard, and do things perfectly and quickly. Depending on your store, the staff room and staff bathrooms can be anything from very pleasant to horrifying. Everyone shops for food so you encounter every kind of customer and not all of them are respectful or kind.",Recommends working here: No,Rates salary as: Low,1 year ago,"Warwick WA, Australia",4.0,3.0,2.0,2.0,1.0,3.0,3.0,Woolworths Supermarkets
"‘Forever changing and \""improving\""’",Retail Assistant,Flexible and diverse working environment. Good job to have as a gateway into retail. Possibility for a career higher up in retail with the help from Woolworths graduate programs.,Training of staff and management could be improved. Difficult to keep up in the evolving retail market with new competitors,Recommends working here: No,Rates salary as: Average,4 years ago,"Adelaide, South Australia, Australia",5.0,5.0,3.0,1.0,3.0,5.0,2.0,Woolworths Supermarkets
